time,total_forwards,experienced_forwards,fraction_experienced
0,4,0,0.0000
60,37,0,0.0000
120,53,0,0.0000
180,67,0,0.0000
240,148,0,0.0000
300,236,4,0.0169
360,352,20,0.0568
420,283,34,0.1201
480,442,105,0.2376
540,470,140,0.2979
600,433,148,0.3418
660,504,294,0.5833
720,624,262,0.4199
780,569,244,0.4288
840,716,450,0.6285
900,482,301,0.6245
960,579,413,0.7133
1020,688,476,0.6919
1080,374,267,0.7139
1140,385,275,0.7143
1200,750,583,0.7773
1260,478,336,0.7029
1320,479,330,0.6889
1380,703,492,0.6999
1440,568,452,0.7958
1500,564,445,0.7890
1560,601,495,0.8236
1620,513,382,0.7446
1680,485,397,0.8186
1740,714,558,0.7815
1800,706,670,0.9490
1860,781,656,0.8399
1920,741,735,0.9919
1980,706,666,0.9433
2040,669,647,0.9671
2100,454,429,0.9449
2160,527,502,0.9526
2220,561,501,0.8930
2280,626,580,0.9265
2340,492,429,0.8720
2400,444,436,0.9820
2460,327,306,0.9358
2520,449,414,0.9220
2580,573,550,0.9599
2640,669,647,0.9671
2700,593,587,0.9899
2760,673,659,0.9792
2820,587,583,0.9932
2880,746,674,0.9035
2940,724,723,0.9986
3000,619,605,0.9774
3060,910,894,0.9824
3120,569,555,0.9754
3180,726,720,0.9917
3240,583,568,0.9743
3300,804,803,0.9988
3360,582,548,0.9416
3420,956,930,0.9728
3480,599,588,0.9816
3540,818,816,0.9976
