time,total_forwards,experienced_forwards,fraction_experienced
0,4,0,0.0000
60,13,0,0.0000
120,13,0,0.0000
180,24,0,0.0000
240,43,0,0.0000
300,78,0,0.0000
360,98,0,0.0000
420,41,2,0.0488
480,79,4,0.0506
540,91,3,0.0330
600,93,0,0.0000
660,111,2,0.0180
720,199,32,0.1608
780,204,53,0.2598
840,298,149,0.5000
900,121,47,0.3884
960,166,68,0.4096
1020,125,11,0.0880
1080,72,10,0.1389
1140,286,141,0.4930
1200,187,108,0.5775
1260,396,240,0.6061
1320,248,165,0.6653
1380,185,140,0.7568
1440,133,68,0.5113
1500,374,212,0.5668
1560,189,140,0.7407
1620,277,195,0.7040
1680,459,390,0.8497
1740,376,313,0.8324
1800,345,301,0.8725
1860,263,240,0.9125
1920,315,310,0.9841
1980,233,213,0.9142
2040,250,240,0.9600
2100,217,196,0.9032
2160,189,176,0.9312
2220,113,105,0.9292
2280,299,294,0.9833
2340,200,193,0.9650
2400,254,249,0.9803
2460,332,330,0.9940
2520,316,268,0.8481
2580,132,130,0.9848
2640,129,127,0.9845
2700,197,195,0.9898
2760,183,181,0.9891
2820,207,207,1.0000
2880,271,270,0.9963
2940,309,308,0.9968
3000,172,168,0.9767
3060,344,339,0.9855
3120,203,194,0.9557
3180,338,334,0.9882
3240,309,304,0.9838
3300,146,146,1.0000
3360,152,151,0.9934
3420,320,298,0.9313
3480,161,161,1.0000
3540,177,177,1.0000
