time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.971673
360,0.971673
420,0.912165
480,0.889407
540,0.886979
600,0.886979
660,0.847776
720,0.847199
780,0.836870
840,0.813259
900,0.750118
960,0.723486
1020,0.694531
1080,0.672904
1140,0.637802
1200,0.615167
1260,0.599881
1320,0.588420
1380,0.589996
1440,0.576047
1500,0.570178
1560,0.549710
1620,0.554431
1680,0.547537
1740,0.539277
1800,0.532653
1860,0.532466
1920,0.533907
1980,0.522593
2040,0.522651
2100,0.525432
2160,0.517818
2220,0.516130
2280,0.515934
2340,0.515452
2400,0.514076
2460,0.512729
2520,0.500288
2580,0.497085
2640,0.494568
2700,0.498017
2760,0.492692
2820,0.482798
2880,0.479830
2940,0.479530
3000,0.482731
3060,0.483630
3120,0.484325
3180,0.478781
3240,0.481121
3300,0.484927
3360,0.485428
3420,0.486754
3480,0.483544
3540,0.482972
