time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.986772
300,0.979365
360,0.970688
420,0.950478
480,0.937661
540,0.924717
600,0.868158
660,0.809599
720,0.780987
780,0.749691
840,0.745237
900,0.679706
960,0.639631
1020,0.630084
1080,0.594808
1140,0.576582
1200,0.578278
1260,0.577396
1320,0.572616
1380,0.577117
1440,0.570799
1500,0.562684
1560,0.556319
1620,0.554231
1680,0.542542
1740,0.536935
1800,0.519726
1860,0.516821
1920,0.511044
1980,0.512337
2040,0.511713
2100,0.508212
2160,0.504320
2220,0.508308
2280,0.497347
2340,0.485510
2400,0.482906
2460,0.479106
2520,0.484121
2580,0.482403
2640,0.487782
2700,0.483670
2760,0.481813
2820,0.475842
2880,0.474820
2940,0.479770
3000,0.476906
3060,0.464210
3120,0.462389
3180,0.461572
3240,0.460869
3300,0.462198
3360,0.463367
3420,0.462754
3480,0.462953
3540,0.463118
