time,gini
0,0.000000
60,0.000000
120,0.992063
180,0.979411
240,0.958690
300,0.958690
360,0.945656
420,0.911085
480,0.880602
540,0.857685
600,0.785000
660,0.772525
720,0.739873
780,0.721929
840,0.715039
900,0.655686
960,0.638110
1020,0.642644
1080,0.640199
1140,0.620761
1200,0.610683
1260,0.584420
1320,0.571668
1380,0.573369
1440,0.559305
1500,0.540837
1560,0.525578
1620,0.520764
1680,0.511544
1740,0.504603
1800,0.501767
1860,0.496738
1920,0.506348
1980,0.510103
2040,0.504081
2100,0.498840
2160,0.498512
2220,0.496913
2280,0.498428
2340,0.497665
2400,0.496298
2460,0.497677
2520,0.499310
2580,0.492298
2640,0.492008
2700,0.489618
2760,0.491018
2820,0.488270
2880,0.486769
2940,0.484887
3000,0.487184
3060,0.484723
3120,0.486194
3180,0.482511
3240,0.481099
3300,0.477563
3360,0.474523
3420,0.477754
3480,0.478274
3540,0.478287
