time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.986772
240,0.979375
300,0.932449
360,0.925428
420,0.904089
480,0.900712
540,0.843233
600,0.808660
660,0.778281
720,0.783658
780,0.770890
840,0.748341
900,0.714693
960,0.684021
1020,0.653924
1080,0.643090
1140,0.624665
1200,0.625181
1260,0.616138
1320,0.609697
1380,0.605761
1440,0.593414
1500,0.586022
1560,0.579036
1620,0.575707
1680,0.556794
1740,0.554197
1800,0.548293
1860,0.539480
1920,0.539997
1980,0.538715
2040,0.533821
2100,0.528219
2160,0.525224
2220,0.526150
2280,0.529384
2340,0.528828
2400,0.528813
2460,0.523436
2520,0.525315
2580,0.522076
2640,0.521927
2700,0.524602
2760,0.525353
2820,0.523295
2880,0.520211
2940,0.511304
3000,0.508425
3060,0.504816
3120,0.507249
3180,0.508503
3240,0.509420
3300,0.509356
3360,0.509495
3420,0.507730
3480,0.504765
3540,0.500365
