node_id,work,score,connectivity,forwards,delivery_contributions
p0,0.569867,0.398907,0.0000,36,4
p1,3.640803,2.548562,0.0000,286,18
p2,0.652622,0.456836,0.0000,67,6
p3,2.144760,1.501332,0.0000,169,7
p4,1.194874,0.836412,0.0000,73,4
p5,0.815518,0.570863,0.0000,135,4
p6,3.856292,2.699404,0.0000,57,7
p7,4.288547,3.001983,0.0000,261,9
p8,0.789749,0.552824,0.0000,136,3
p9,1.536357,1.075450,0.0000,145,6
p10,2.416268,1.691387,0.0000,295,8
p11,0.000000,0.000000,0.0000,158,0
p12,1.574910,1.102437,0.0000,111,7
p13,0.353100,0.247170,0.0000,73,2
p14,4.213769,2.949638,0.0000,262,11
p15,0.894740,0.626318,0.0000,123,3
p16,0.227257,0.159080,0.0000,57,2
p17,0.243376,0.170363,0.0000,57,1
p18,1.313216,0.919251,0.0000,75,4
p19,0.622839,0.435987,0.0000,110,4
p20,0.790101,0.553071,0.0000,52,5
p21,1.246510,0.872557,0.0000,162,7
p22,0.651351,0.455946,0.0000,22,2
p23,0.716045,0.501232,0.0000,108,3
p24,1.750728,1.225510,0.0000,24,6
p25,0.000000,0.000000,0.0000,36,0
p26,0.561579,0.393106,0.0000,43,2
p27,2.500385,1.750269,0.0000,149,7
p28,0.740325,0.668227,0.5000,47,2
p29,0.815220,0.570654,0.0000,265,9
p30,1.510939,1.057657,0.0000,358,9
p31,2.499936,1.749955,0.0000,139,9
p32,0.318553,0.222987,0.0000,46,4
c33,1.269289,0.888503,0.0000,122,6
c34,11.124115,7.786881,0.0000,63,20
c35,2.891819,2.024273,0.0000,268,13
c36,6.116160,4.281312,0.0000,152,11
c37,1.275891,0.893123,0.0000,153,7
c38,5.890871,4.123610,0.0000,106,11
c39,8.398565,5.878996,0.0000,216,20
c40,6.016526,4.211568,0.0000,175,15
c41,10.372400,7.260680,0.0000,164,17
c42,10.095162,7.066613,0.0000,174,25
c43,2.769885,1.938920,0.0000,152,9
c44,2.465822,1.726075,0.0000,228,8
c45,4.135153,2.894607,0.0000,144,11
c46,2.146995,1.502897,0.0000,331,13
c47,5.687625,3.981337,0.0000,93,12
c48,10.646422,7.452495,0.0000,157,23
c49,3.250682,2.275477,0.0000,284,15
c50,6.450988,4.515691,0.0000,124,12
c51,2.449740,1.714818,0.0000,244,13
c52,0.593262,0.415283,0.0000,252,4
c53,3.263683,2.284578,0.0000,73,6
c54,6.506423,4.554496,0.0000,182,16
c55,2.298094,1.608665,0.0000,516,11
c56,7.633636,5.343546,0.0000,172,18
c57,2.332099,1.632469,0.0000,365,9
c58,4.203922,2.942746,0.0000,82,12
c59,2.727175,1.909022,0.0000,291,8
c60,3.137561,2.496293,1.0000,293,9
c61,2.654995,1.858497,0.0000,123,12
c62,5.745251,4.021676,0.0000,259,20
c63,6.530438,4.571307,0.0000,89,16
c64,5.254510,3.678157,0.0000,270,14
c65,11.601679,8.121175,0.0000,184,26
w66,2.946306,2.062414,0.0000,136,11
w67,1.386054,0.970238,0.0000,28,6
w68,0.918711,0.643098,0.0000,42,4
w69,2.475957,1.733170,0.0000,235,5
w70,0.581142,0.406799,0.0000,135,5
w71,0.781177,0.546824,0.0000,145,6
w72,3.228751,2.260126,0.0000,200,12
w73,1.925873,1.348111,0.0000,215,8
w74,0.997928,0.698549,0.0000,13,2
w75,0.628600,0.440020,0.0000,59,5
w76,0.528402,0.369881,0.0000,49,5
w77,3.355718,2.649003,1.0000,67,9
w78,0.495828,0.347080,0.0000,124,5
w79,3.934673,2.754271,0.0000,88,8
w80,3.677220,2.574054,0.0000,188,15
w81,3.169630,2.218741,0.0000,221,6
w82,2.222653,1.555857,0.0000,279,8
w83,1.460419,1.172293,0.5000,158,5
w84,3.339516,2.337662,0.0000,276,11
w85,0.776997,0.543898,0.0000,42,2
w86,5.327590,3.729313,0.0000,286,16
w87,2.255435,1.578804,0.0000,278,6
w88,0.537894,0.376526,0.0000,134,4
w89,1.949862,1.364903,0.0000,136,5
w90,1.111785,0.778250,0.0000,117,4
w91,1.159999,0.811999,0.0000,51,5
w92,0.397992,0.278594,0.0000,60,2
w93,2.671305,1.869913,0.0000,146,4
w94,0.835624,0.584937,0.0000,7,3
w95,1.278798,0.895159,0.0000,28,3
w96,0.981174,0.686822,0.0000,132,5
w97,1.901639,1.331147,0.0000,107,6
w98,0.022300,0.015610,0.0000,79,1
w99,2.154791,1.508354,0.0000,79,6
t100,13.607922,9.625545,0.3333,236,27
t101,11.119106,7.883374,0.3333,395,30
t102,11.648447,8.153913,0.0000,269,25
t103,8.812516,6.168761,0.0000,368,25
t104,0.550131,0.385092,0.0000,296,4
t105,7.740089,5.418063,0.0000,270,23
