time,gini
0,0.000000
60,0.000000
120,0.992063
180,0.975281
240,0.962185
300,0.944701
360,0.938023
420,0.931083
480,0.931083
540,0.892421
600,0.870609
660,0.843240
720,0.795072
780,0.782226
840,0.767346
900,0.747436
960,0.728691
1020,0.692613
1080,0.677845
1140,0.663893
1200,0.658780
1260,0.647799
1320,0.634273
1380,0.623200
1440,0.623488
1500,0.610011
1560,0.606461
1620,0.595584
1680,0.580008
1740,0.579579
1800,0.575379
1860,0.556543
1920,0.549432
1980,0.539404
2040,0.532590
2100,0.524722
2160,0.520829
2220,0.519039
2280,0.522255
2340,0.522840
2400,0.522728
2460,0.520089
2520,0.512939
2580,0.505656
2640,0.502516
2700,0.500030
2760,0.497621
2820,0.498653
2880,0.498616
2940,0.496562
3000,0.495463
3060,0.489959
3120,0.487645
3180,0.483183
3240,0.481639
3300,0.475066
3360,0.467310
3420,0.465116
3480,0.461839
3540,0.458422
