latency,hops,proof_bytes
28.00,2,256
259.10,1,128
328.30,2,256
174.10,2,256
25.50,1,128
321.10,2,256
452.00,2,256
309.10,3,384
222.20,2,256
447.40,3,384
618.90,2,256
611.10,3,384
810.20,2,256
0.10,1,128
206.70,3,384
948.50,6,768
593.60,3,384
423.80,4,512
491.90,3,384
68.30,1,128
509.40,2,256
308.70,1,128
92.30,3,384
131.40,5,640
791.50,2,256
494.70,2,256
797.20,2,256
770.30,2,256
639.20,2,256
897.30,2,256
931.90,4,512
752.10,5,640
380.50,3,384
1089.00,3,384
305.90,1,128
781.00,3,384
639.10,2,256
1020.50,3,384
1066.60,4,512
863.70,3,384
840.40,4,512
993.50,4,512
852.10,2,256
1004.40,4,512
779.90,3,384
493.00,2,256
360.10,2,256
621.20,2,256
1338.80,4,512
1222.90,4,512
1298.70,2,256
1381.30,4,512
1436.90,2,256
1251.00,5,640
869.10,3,384
763.60,1,128
1367.90,3,384
1159.60,4,512
1311.40,2,256
786.00,2,256
1293.20,2,256
801.00,3,384
1042.50,1,128
1101.60,1,128
903.10,1,128
1009.80,3,384
1534.90,2,256
747.20,2,256
1207.30,4,512
941.80,2,256
1497.40,4,512
1063.50,1,128
1301.30,5,640
229.90,1,128
1411.10,3,384
672.20,1,128
1293.90,2,256
1743.00,4,512
1065.90,4,512
516.00,2,256
1167.80,3,384
1288.90,4,512
1705.90,3,384
459.00,2,256
214.10,2,256
1356.50,5,640
1275.10,3,384
1025.20,3,384
192.60,1,128
385.80,3,384
1281.90,3,384
711.00,3,384
1477.10,4,512
1884.30,3,384
294.40,1,128
953.70,1,128
1844.30,3,384
1521.10,2,256
1778.20,2,256
637.70,3,384
1872.70,6,768
1640.50,3,384
1760.80,3,384
758.40,1,128
962.70,4,512
1758.80,3,384
1199.30,4,512
733.80,4,512
1598.30,4,512
697.40,2,256
1114.50,3,384
1407.50,2,256
9.40,1,128
786.50,2,256
1498.60,3,384
682.80,3,384
597.90,2,256
2008.60,2,256
1075.40,1,128
1120.30,5,640
2177.70,6,768
619.20,1,128
2339.30,2,256
2281.00,4,512
2063.10,3,384
1350.20,2,256
1636.30,2,256
1606.10,4,512
1125.30,2,256
2384.50,2,256
2252.60,3,384
1760.00,3,384
2285.10,3,384
801.20,1,128
1149.50,2,256
2396.10,3,384
2182.20,2,256
1274.30,1,128
2050.90,3,384
1187.50,3,384
1358.60,5,640
1614.90,4,512
468.20,2,256
896.80,4,512
1730.90,4,512
1379.00,2,256
126.90,1,128
833.90,2,256
2524.00,4,512
2093.10,3,384
149.40,1,128
2187.60,2,256
1618.60,1,128
1583.30,3,384
154.00,1,128
1085.00,2,256
1601.10,2,256
630.60,1,128
1144.60,5,640
280.70,1,128
20.00,1,128
2180.60,2,256
585.70,3,384
701.80,4,512
1093.90,1,128
1576.30,2,256
1389.50,2,256
944.60,2,256
1313.80,2,256
1980.80,3,384
892.90,2,256
1317.00,2,256
1176.50,2,256
227.60,2,256
902.00,1,128
827.10,1,128
760.20,1,128
539.40,2,256
2097.60,2,256
1030.10,2,256
721.30,2,256
336.60,1,128
1380.30,3,384
1794.40,4,512
2242.50,4,512
1868.60,3,384
2426.40,3,384
760.50,1,128
2013.30,2,256
2613.60,1,128
2428.60,5,640
165.90,2,256
2391.70,2,256
1320.90,2,256
1023.00,2,256
1728.70,3,384
488.80,2,256
1196.70,2,256
935.20,4,512
2049.30,1,128
99.40,1,128
1146.60,2,256
678.00,1,128
1439.20,4,512
2020.80,3,384
1850.90,4,512
1568.40,2,256
1099.50,2,256
1878.80,3,384
648.90,4,512
2620.50,2,256
1384.50,4,512
2795.20,3,384
2018.30,4,512
2523.70,5,640
1938.90,3,384
2440.00,3,384
1641.40,4,512
2091.70,2,256
1437.90,2,256
1771.00,2,256
1920.70,1,128
1223.80,2,256
2076.60,5,640
2687.50,5,640
1623.60,3,384
944.70,2,256
2676.40,2,256
1488.90,3,384
1706.00,3,384
1164.10,4,512
2577.20,2,256
576.10,5,640
1491.00,2,256
2445.50,3,384
2183.60,3,384
719.70,1,128
641.70,2,256
1187.80,4,512
1254.80,3,384
