time,total_forwards,experienced_forwards,fraction_experienced
0,7,0,0.0000
60,16,0,0.0000
120,20,0,0.0000
180,36,0,0.0000
240,72,6,0.0833
300,112,16,0.1429
360,116,0,0.0000
420,107,0,0.0000
480,183,0,0.0000
540,211,6,0.0284
600,261,18,0.0690
660,230,9,0.0391
720,380,79,0.2079
780,246,155,0.6301
840,228,174,0.7632
900,282,233,0.8262
960,424,328,0.7736
1020,179,103,0.5754
1080,242,208,0.8595
1140,444,333,0.7500
1200,332,320,0.9639
1260,254,219,0.8622
1320,306,265,0.8660
1380,291,272,0.9347
1440,191,165,0.8639
1500,360,351,0.9750
1560,305,281,0.9213
1620,438,339,0.7740
1680,386,363,0.9404
1740,299,291,0.9732
1800,491,478,0.9735
1860,205,197,0.9610
1920,353,285,0.8074
1980,146,141,0.9658
2040,205,175,0.8537
2100,435,397,0.9126
2160,327,257,0.7859
2220,455,450,0.9890
2280,408,348,0.8529
2340,322,294,0.9130
2400,251,240,0.9562
2460,461,434,0.9414
2520,331,330,0.9970
2580,514,504,0.9805
2640,458,457,0.9978
2700,514,488,0.9494
2760,645,592,0.9178
2820,260,256,0.9846
2880,321,321,1.0000
2940,359,352,0.9805
3000,547,518,0.9470
3060,357,350,0.9804
3120,248,248,1.0000
3180,393,392,0.9975
3240,166,136,0.8193
3300,578,542,0.9377
3360,421,421,1.0000
3420,442,432,0.9774
3480,316,302,0.9557
3540,354,354,1.0000
