latency,hops,proof_bytes
201.80,2,256
221.90,1,128
292.20,3,384
288.80,4,512
158.10,2,256
356.30,2,256
482.50,2,256
254.50,155,19840
435.70,5,640
487.40,2,256
517.50,3,384
413.60,3,384
492.30,5,640
514.00,4,512
574.80,5,640
524.70,5,640
270.30,3,384
143.00,4,512
234.70,3,384
656.10,30,3840
424.50,6,768
556.00,4,512
824.00,7,896
621.90,3,384
653.30,7,896
738.80,5,640
647.60,690,88320
694.50,4,512
281.50,4,512
537.50,4,512
552.90,4,512
884.70,7,896
180.80,2,256
582.20,8,1024
227.70,3,384
24.00,1,128
236.20,2,256
537.10,3,384
685.30,6,768
939.10,3,384
963.50,7,896
607.20,5,640
850.40,6,768
584.40,1,128
994.30,8,1024
919.40,6,768
821.10,3,384
762.30,3,384
529.60,6,768
674.80,7,896
1006.90,2,256
284.00,3,384
576.40,4,512
692.00,4,512
282.90,2,256
863.10,4,512
675.00,6,768
235.40,3,384
769.60,5,640
1060.20,5,640
1119.40,5,640
613.50,3,384
964.90,5,640
811.60,4,512
562.20,4,512
441.20,2,256
730.10,3,384
1150.20,4,512
950.30,4,512
886.40,4,512
1160.50,3,384
548.80,3,384
945.00,3,384
879.80,108,13824
1263.40,3,384
773.80,2,256
1066.20,5,640
839.50,3,384
653.80,4,512
855.40,5,640
1268.50,538,68864
1206.10,7,896
800.50,3,384
915.70,5,640
1094.80,5,640
1377.40,4,512
603.90,38,4864
913.80,55,7040
59.60,2,256
260.70,1,128
362.10,3,384
1005.00,3,384
1043.50,3,384
324.80,1,128
1248.00,5,640
1173.10,5,640
1393.20,5,640
1668.40,4,512
1688.60,6,768
1055.70,7,896
651.90,23,2944
1252.80,4,512
1524.10,3,384
1199.00,4,512
1505.30,5,640
471.30,2,256
549.40,3,384
852.40,1,128
1313.80,3,384
822.30,3,384
1362.40,3,384
676.60,2,256
667.80,23,2944
1203.40,4,512
1056.50,5,640
1586.50,705,90240
1186.80,4,512
1305.90,1,128
1039.70,5,640
430.40,2,256
714.00,3,384
1224.40,6,768
156.40,2,256
642.90,2,256
715.80,4,512
610.10,2,256
1593.30,4,512
688.40,4,512
1255.70,2,256
1253.30,2,256
861.00,4,512
1116.40,4,512
1245.50,7,896
1312.60,3,384
1287.60,2,256
691.70,2,256
1204.00,3,384
431.70,2,256
1181.90,4,512
1545.60,3,384
1160.60,7,896
1758.20,4,512
1196.50,4,512
1322.40,7,896
1825.30,2,256
1426.50,6,768
1020.60,2,256
1138.60,4,512
895.00,3,384
1447.70,3,384
585.60,3,384
867.40,3,384
1099.50,2,256
1303.50,3,384
432.70,3,384
1497.80,18,2304
753.60,6,768
1154.40,3,384
1073.80,2,256
1200.90,3,384
12.70,1,128
1255.90,6,768
1014.60,3,384
1573.10,99,12672
1553.20,3,384
1218.90,1,128
1427.90,5,640
965.50,5,640
1074.20,4,512
344.70,1,128
1317.90,4,512
1298.50,3,384
587.70,4,512
1719.90,6,768
1343.60,9,1152
1641.70,3,384
910.30,3,384
1760.30,3,384
1187.50,4,512
1287.00,8,1024
1522.40,3,384
2062.80,3,384
1873.20,4,512
540.30,3,384
1145.70,4,512
1918.40,2,256
437.70,4,512
193.10,3,384
1036.10,3,384
1105.60,4,512
782.70,3,384
1010.30,3,384
927.80,3,384
5.10,1,128
1385.90,5,640
1145.00,3,384
231.20,2,256
1000.60,3,384
1174.10,3,384
1526.20,5,640
1426.30,4,512
1706.30,5,640
517.90,4,512
1645.00,6,768
1029.90,4,512
714.00,2,256
912.70,1,128
980.50,3,384
1856.10,4,512
589.90,1,128
449.80,2,256
873.30,4,512
839.20,4,512
577.70,2,256
24.30,1,128
866.90,3,384
1001.40,2,256
1604.10,4,512
336.20,5,640
1227.50,1,128
1548.90,2,256
1825.00,5,640
2003.10,478,61184
1749.40,4,512
744.70,4,512
315.30,1,128
1334.70,3,384
1809.40,3,384
2146.20,2,256
248.10,4,512
2229.10,7,896
1077.90,6,768
381.00,2,256
501.10,2,256
2410.20,5,640
1117.50,5,640
1516.90,3,384
794.90,2,256
1771.80,6,768
1757.70,4,512
1037.40,4,512
434.30,3,384
101.70,1,128
994.50,3,384
1556.20,2,256
1285.20,5,640
1343.80,5,640
1387.00,5,640
714.80,4,512
856.50,10,1280
647.80,4,512
1351.90,6,768
1226.70,5,640
948.70,4,512
1697.80,4,512
762.90,3,384
1198.00,3,384
850.90,4,512
1540.30,2,256
301.10,132,16896
1692.20,6,768
809.40,2,256
1661.30,2,256
245.00,2,256
1676.10,3,384
1357.90,2,256
1954.80,3,384
24.40,1,128
2320.20,4,512
1552.50,7,896
2434.20,3,384
927.20,3,384
1476.80,8,1024
1237.10,2,256
766.20,3,384
1959.90,2,256
2424.00,4,512
1038.60,3,384
1634.70,3,384
2273.80,3,384
912.70,1,128
1914.80,3,384
945.30,3,384
802.40,3,384
2340.00,5,640
1906.10,4,512
1788.20,3,384
2088.40,4,512
863.20,4,512
1244.20,2,256
2990.30,394,50432
970.30,4,512
778.10,4,512
1207.30,5,640
1229.30,6,768
1375.70,4,512
1396.80,2,256
2717.20,2,256
1188.90,4,512
1392.70,3,384
1945.70,2,256
940.00,86,11008
2355.50,4,512
1461.40,2,256
2081.50,6,768
227.10,1,128
348.70,1,128
1653.10,2,256
1366.20,3,384
1843.30,1,128
493.20,2,256
1199.90,3,384
613.30,1,128
1137.80,1,128
867.60,2,256
