time,total_forwards,experienced_forwards,fraction_experienced
0,4,0,0.0000
60,5,0,0.0000
120,6,0,0.0000
180,4,0,0.0000
240,18,0,0.0000
300,18,0,0.0000
360,40,0,0.0000
420,41,0,0.0000
480,39,0,0.0000
540,68,3,0.0441
600,49,0,0.0000
660,111,18,0.1622
720,168,79,0.4702
780,19,0,0.0000
840,74,24,0.3243
900,141,78,0.5532
960,153,70,0.4575
1020,62,41,0.6613
1080,117,61,0.5214
1140,75,72,0.9600
1200,112,39,0.3482
1260,41,34,0.8293
1320,96,58,0.6042
1380,112,63,0.5625
1440,139,104,0.7482
1500,83,72,0.8675
1560,111,105,0.9459
1620,92,91,0.9891
1680,125,115,0.9200
1740,111,103,0.9279
1800,122,90,0.7377
1860,100,95,0.9500
1920,84,71,0.8452
1980,122,119,0.9754
2040,105,88,0.8381
2100,124,121,0.9758
2160,121,111,0.9174
2220,111,108,0.9730
2280,42,41,0.9762
2340,111,91,0.8198
2400,93,89,0.9570
2460,194,165,0.8505
2520,134,134,1.0000
2580,241,235,0.9751
2640,52,52,1.0000
2700,63,63,1.0000
2760,236,236,1.0000
2820,89,87,0.9775
2880,70,70,1.0000
2940,128,128,1.0000
3000,119,119,1.0000
3060,164,164,1.0000
3120,24,10,0.4167
3180,299,299,1.0000
3240,142,142,1.0000
3300,237,237,1.0000
3360,52,49,0.9423
3420,63,63,1.0000
3480,242,242,1.0000
3540,214,214,1.0000
