protocol,scenario,nodes,seed,created,delivered,delivery_prob,overhead_ratio,latency_avg,hopcount_avg,relayed
SprayAndWait,base,100,5,558,229,0.4104,10.6638,1034.0127,2.1397,2671
SprayAndWait,base,150,5,557,246,0.4417,10.4390,1068.5667,2.0772,2814
DirectDelivery,base,50,5,561,74,0.1319,0.0000,1062.2162,1.0000,74
DirectDelivery,base,100,5,558,56,0.1004,0.0000,1051.4786,1.0000,56
DirectDelivery,base,150,5,557,74,0.1329,0.0000,1145.3203,1.0000,74
FirstContact,base,50,5,561,74,0.1319,45.6757,1100.4014,6.1351,3454
FirstContact,base,100,5,558,54,0.0968,112.3704,1141.8704,9.6481,6122
FirstContact,base,150,5,557,59,0.1059,148.4915,833.7322,11.4237,8820
MaxProp,base,50,5,561,282,0.5027,35.3794,1048.7411,3.0674,10259
MaxProp,base,100,5,558,387,0.6935,74.4289,945.3452,3.8863,29191
MaxProp,base,150,5,557,433,0.7774,118.6674,709.6968,4.2379,51816
PoDC,sybil20,126,1,881,539,0.6118,84.2672,838.4278,3.2783,45959
PoDC,sybil20,126,2,906,589,0.6501,86.5772,767.2278,3.3752,51583
PoDC,sybil20,126,3,884,555,0.6278,81.8432,826.3739,3.6036,45978
PoDC,sybil20,126,4,890,574,0.6449,85.4721,748.4286,3.3328,49635
PoDC,sybil20,126,5,874,526,0.6018,83.6616,861.8008,3.5038,44532
PoDC,base,126,1,880,533,0.6057,84.5103,847.3238,3.4653,45577
PoDC,base,126,2,886,562,0.6343,85.1512,777.4060,3.3665,48417
PoDC,base,126,3,897,560,0.6243,86.5661,812.2139,3.4679,49037
PoDC,base,126,4,881,553,0.6277,86.6745,772.1490,3.2405,48484
PoDC,base,126,5,889,536,0.6029,85.7631,837.9591,3.5019,46505
PoDC,drop0.3,100,1,849,493,0.5807,62.2819,868.9045,3.1947,31198
PoDC,drop0.3,100,2,844,475,0.5628,63.4674,921.3709,3.0400,30622
PoDC,drop0.3,100,3,831,463,0.5572,63.1339,875.4149,3.1404,29694
PoDC,drop0.3,100,4,847,470,0.5549,59.9255,929.7819,3.0000,28635
PoDC,drop0.3,100,5,834,451,0.5408,60.5876,934.2308,3.1109,27776
PoDC,drop0.7,100,1,876,521,0.5947,78.1766,855.0555,3.4856,41251
PoDC,drop0.7,100,2,884,530,0.5995,74.0887,923.1934,3.4585,39797
PoDC,drop0.7,100,3,871,508,0.5832,75.9724,897.3478,3.5059,39102
PoDC,drop0.7,100,4,879,503,0.5722,77.3857,907.9491,3.4354,39428
PoDC,drop0.7,100,5,868,498,0.5737,71.8695,925.3610,3.4438,36289
