time,total_forwards,experienced_forwards,fraction_experienced
0,3,0,0.0000
60,12,0,0.0000
120,46,0,0.0000
180,55,0,0.0000
240,110,0,0.0000
300,154,1,0.0065
360,218,2,0.0092
420,331,38,0.1148
480,254,67,0.2638
540,308,76,0.2468
600,307,105,0.3420
660,279,90,0.3226
720,272,54,0.1985
780,258,113,0.4380
840,425,210,0.4941
900,492,333,0.6768
960,338,201,0.5947
1020,325,165,0.5077
1080,273,198,0.7253
1140,318,256,0.8050
1200,397,327,0.8237
1260,394,326,0.8274
1320,538,412,0.7658
1380,469,416,0.8870
1440,533,484,0.9081
1500,500,393,0.7860
1560,503,475,0.9443
1620,269,265,0.9851
1680,542,520,0.9594
1740,365,322,0.8822
1800,435,416,0.9563
1860,391,279,0.7136
1920,373,366,0.9812
1980,478,417,0.8724
2040,436,418,0.9587
2100,483,420,0.8696
2160,495,466,0.9414
2220,394,378,0.9594
2280,532,512,0.9624
2340,688,611,0.8881
2400,605,591,0.9769
2460,568,564,0.9930
2520,438,435,0.9932
2580,796,795,0.9987
2640,509,498,0.9784
2700,556,556,1.0000
2760,553,490,0.8861
2820,521,521,1.0000
2880,457,448,0.9803
2940,509,509,1.0000
3000,477,467,0.9790
3060,476,473,0.9937
3120,486,474,0.9753
3180,311,310,0.9968
3240,601,573,0.9534
3300,329,329,1.0000
3360,445,444,0.9978
3420,460,460,1.0000
3480,473,469,0.9915
3540,491,491,1.0000
