node_id,work,score,connectivity,forwards,delivery_contributions
p0,0.584061,0.408843,0.0000,50,4
p1,2.759111,1.931378,0.0000,265,18
p2,0.407143,0.285000,0.0000,38,5
p3,3.452958,2.417071,0.0000,196,12
p4,0.062892,0.044024,0.0000,118,3
p5,1.009900,0.706930,0.0000,332,7
p6,4.249981,2.974987,0.0000,57,8
p7,3.250989,2.275692,0.0000,145,6
p8,2.802422,1.961695,0.0000,153,12
p9,1.270651,0.889456,0.0000,230,10
p10,2.150357,1.505250,0.0000,216,10
p11,1.209784,0.846849,0.0000,167,6
p12,0.324474,0.227132,0.0000,88,4
p13,0.086926,0.060848,0.0000,78,3
p14,3.450185,2.415130,0.0000,283,13
p15,0.357811,0.250468,0.0000,105,4
p16,0.461134,0.322794,0.0000,169,3
p17,1.199006,0.839304,0.0000,68,2
p18,1.493919,1.045743,0.0000,87,3
p19,0.483756,0.338629,0.0000,224,4
p20,1.997728,1.398410,0.0000,66,6
p21,0.812506,0.568754,0.0000,162,7
p22,0.329357,0.230550,0.0000,17,1
p23,0.412576,0.288804,0.0000,74,3
p24,0.744769,0.521338,0.0000,33,2
p25,0.000000,0.000000,0.0000,30,0
p26,0.561907,0.393335,0.0000,47,2
p27,0.828752,0.580127,0.0000,247,6
p28,0.771207,0.689845,0.5000,74,6
p29,0.612485,0.428740,0.0000,229,8
p30,2.403595,1.682517,0.0000,357,15
p31,1.521043,1.064730,0.0000,174,8
p32,0.813750,0.569625,0.0000,70,5
c33,0.827816,0.579471,0.0000,206,6
c34,9.293300,6.505310,0.0000,191,23
c35,2.939300,2.057510,0.0000,291,16
c36,5.762222,4.033556,0.0000,244,13
c37,3.755392,2.628774,0.0000,214,10
c38,4.198837,2.939186,0.0000,213,13
c39,6.299026,4.409318,0.0000,408,19
c40,1.548309,1.083816,0.0000,284,9
c41,8.450928,5.915650,0.0000,305,22
c42,10.027484,7.019239,0.0000,348,24
c43,3.279039,2.295328,0.0000,175,14
c44,4.308752,3.016126,0.0000,225,12
c45,2.748991,1.924293,0.0000,241,9
c46,1.523494,1.066446,0.0000,430,16
c47,6.013540,4.209478,0.0000,203,18
c48,11.721321,8.204925,0.0000,153,28
c49,2.422777,1.695944,0.0000,378,16
c50,6.229294,4.360505,0.0000,249,15
c51,2.841224,1.988857,0.0000,197,13
c52,4.639737,3.247816,0.0000,352,11
c53,4.170809,2.919566,0.0000,157,9
c54,3.098798,2.169159,0.0000,334,10
c55,2.520161,1.764113,0.0000,543,12
c56,4.192248,2.934574,0.0000,282,19
c57,2.116199,1.481339,0.0000,416,12
c58,6.044087,4.230861,0.0000,152,17
c59,4.417848,3.092494,0.0000,231,16
c60,2.693914,2.185740,1.0000,173,9
c61,5.904103,4.132872,0.0000,177,20
c62,8.958775,6.271143,0.0000,181,18
c63,7.124510,4.987157,0.0000,129,19
c64,8.782811,6.147968,0.0000,270,20
c65,9.914779,6.940345,0.0000,309,29
w66,3.280327,2.296229,0.0000,121,14
w67,1.955330,1.368731,0.0000,75,7
w68,1.318605,0.923023,0.0000,66,6
w69,2.724682,1.907278,0.0000,256,6
w70,0.723367,0.506357,0.0000,143,10
w71,1.287712,0.901398,0.0000,239,7
w72,7.525026,5.267518,0.0000,156,17
w73,1.509637,1.056746,0.0000,203,13
w74,1.136804,0.795763,0.0000,14,3
w75,0.512469,0.358728,0.0000,144,5
w76,0.678745,0.475122,0.0000,76,6
w77,0.604029,0.722820,1.0000,106,5
w78,0.334104,0.233873,0.0000,116,4
w79,5.320750,3.724525,0.0000,149,11
w80,3.810020,2.667014,0.0000,214,14
w81,2.355758,1.649030,0.0000,242,8
w82,0.501899,0.351329,0.0000,325,3
w83,1.289356,1.052549,0.5000,209,11
w84,4.886053,3.420237,0.0000,359,13
w85,0.088336,0.061835,0.0000,87,1
w86,6.801862,4.761303,0.0000,330,15
w87,0.436655,0.305659,0.0000,246,2
w88,1.312785,0.918949,0.0000,287,6
w89,1.970403,1.379282,0.0000,103,7
w90,1.924507,1.347155,0.0000,111,7
w91,1.642914,1.150040,0.0000,72,5
w92,0.337297,0.236108,0.0000,48,2
w93,4.451526,3.116068,0.0000,217,13
w94,0.843801,0.590661,0.0000,7,3
w95,1.707115,1.194981,0.0000,41,4
w96,1.420020,0.994014,0.0000,323,12
w97,0.635856,0.445099,0.0000,230,4
w98,0.623940,0.436758,0.0000,52,3
w99,0.898087,0.628661,0.0000,95,6
t100,17.370558,12.259391,0.3333,285,32
t101,13.882563,9.817794,0.3333,463,33
t102,7.328735,5.130115,0.0000,579,19
t103,11.741721,8.219204,0.0000,466,24
t104,2.365629,1.655941,0.0000,489,9
t105,6.106443,4.274510,0.0000,464,20
