time,total_forwards,experienced_forwards,fraction_experienced
0,5,0,0.0000
60,27,0,0.0000
120,52,0,0.0000
180,96,1,0.0104
240,84,7,0.0833
300,236,17,0.0720
360,232,21,0.0905
420,327,13,0.0398
480,424,45,0.1061
540,490,81,0.1653
600,495,75,0.1515
660,493,117,0.2373
720,636,220,0.3459
780,631,372,0.5895
840,663,267,0.4027
900,503,301,0.5984
960,640,395,0.6172
1020,529,295,0.5577
1080,619,361,0.5832
1140,733,451,0.6153
1200,592,373,0.6301
1260,345,283,0.8203
1320,488,316,0.6475
1380,561,503,0.8966
1440,486,388,0.7984
1500,653,486,0.7443
1560,541,362,0.6691
1620,474,430,0.9072
1680,516,484,0.9380
1740,582,535,0.9192
1800,453,372,0.8212
1860,659,566,0.8589
1920,591,525,0.8883
1980,379,349,0.9208
2040,803,691,0.8605
2100,612,605,0.9886
2160,422,341,0.8081
2220,378,348,0.9206
2280,637,617,0.9686
2340,585,446,0.7624
2400,824,817,0.9915
2460,526,514,0.9772
2520,587,561,0.9557
2580,840,827,0.9845
2640,640,601,0.9391
2700,708,690,0.9746
2760,566,498,0.8799
2820,679,673,0.9912
2880,515,498,0.9670
2940,856,786,0.9182
3000,845,821,0.9716
3060,561,557,0.9929
3120,1034,1030,0.9961
3180,892,848,0.9507
3240,681,679,0.9971
3300,668,661,0.9895
3360,614,605,0.9853
3420,764,675,0.8835
3480,1183,1105,0.9341
3540,515,486,0.9437
