node_id,work,score,connectivity,forwards,delivery_contributions
p0,3.975166,2.782616,0.0000,176,11
p1,0.100584,0.070409,0.0000,182,1
p2,0.965194,0.675636,0.0000,169,6
p3,0.000000,0.000000,0.0000,59,0
p4,3.093247,2.315273,0.5000,237,7
p5,1.469614,1.028730,0.0000,122,4
p6,0.001513,0.001059,0.0000,58,1
p7,1.269791,0.888853,0.0000,110,5
p8,0.773387,0.541371,0.0000,104,5
p9,1.149325,0.804527,0.0000,247,4
p10,0.574812,0.402368,0.0000,134,4
p11,1.534142,1.073899,0.0000,401,8
p12,1.654695,1.158286,0.0000,88,6
p13,3.031939,2.122357,0.0000,279,12
p14,0.256110,0.179277,0.0000,69,1
p15,1.788203,1.251742,0.0000,311,7
p16,1.149206,0.804444,0.0000,102,3
p17,0.475233,0.332663,0.0000,40,2
p18,3.801612,2.661128,0.0000,95,9
p19,0.550748,0.385524,0.0000,278,2
p20,1.231958,0.862371,0.0000,236,3
p21,0.324778,0.227345,0.0000,84,2
p22,0.000000,0.000000,0.0000,44,0
p23,2.658969,1.861278,0.0000,168,6
p24,0.000000,0.000000,0.0000,94,0
p25,0.778454,0.544918,0.0000,240,5
p26,2.787641,1.951349,0.0000,151,6
p27,1.276818,0.893772,0.0000,331,3
p28,1.275273,0.892691,0.0000,101,2
p29,2.448229,1.713761,0.0000,252,9
p30,0.734081,0.613857,0.3333,106,4
p31,0.698769,0.489138,0.0000,172,3
p32,0.261652,0.183157,0.0000,374,4
p33,0.230706,0.161494,0.0000,60,1
p34,0.311007,0.217705,0.0000,78,2
p35,0.670638,0.469447,0.0000,215,4
p36,2.762825,1.933978,0.0000,264,14
p37,5.429725,3.800808,0.0000,89,11
p38,1.542775,1.079942,0.0000,116,5
p39,0.220113,0.154079,0.0000,96,1
p40,0.404876,0.283413,0.0000,51,4
p41,0.835464,0.584825,0.0000,161,4
p42,1.800767,1.410537,0.5000,160,8
p43,4.934914,3.454440,0.0000,214,9
p44,2.258889,1.581222,0.0000,481,13
p45,0.002602,0.001822,0.0000,143,1
p46,0.173029,0.121121,0.0000,159,1
p47,3.682472,2.577730,0.0000,63,5
p48,0.193121,0.135185,0.0000,75,1
p49,0.608761,0.426132,0.0000,160,2
c50,1.040948,0.728663,0.0000,350,8
c51,3.749747,2.624823,0.0000,388,18
c52,6.538037,4.576626,0.0000,304,16
c53,2.288814,1.602170,0.0000,340,7
c54,7.616320,5.331424,0.0000,203,17
c55,4.909343,3.436540,0.0000,373,12
c56,8.555161,5.988612,0.0000,207,21
c57,8.320237,5.824166,0.0000,89,11
c58,8.584154,6.008908,0.0000,176,22
c59,2.226267,1.558387,0.0000,292,7
c60,4.179749,2.925824,0.0000,316,12
c61,2.986155,2.090309,0.0000,282,8
c62,2.130417,1.491292,0.0000,179,7
c63,1.914369,1.340058,0.0000,295,5
c64,2.514147,1.759903,0.0000,346,11
c65,2.619241,1.833469,0.0000,366,9
c66,4.817786,3.372450,0.0000,317,11
c67,4.825282,3.377698,0.0000,389,21
c68,7.485842,5.240090,0.0000,361,15
c69,4.070745,2.849521,0.0000,223,10
c70,1.156097,0.809268,0.0000,428,4
