time,total_forwards,experienced_forwards,fraction_experienced
0,2,0,0.0000
60,20,0,0.0000
120,36,0,0.0000
180,67,2,0.0299
240,88,0,0.0000
300,123,2,0.0163
360,160,5,0.0313
420,206,24,0.1165
480,171,17,0.0994
540,171,29,0.1696
600,266,27,0.1015
660,327,94,0.2875
720,129,16,0.1240
780,237,94,0.3966
840,144,69,0.4792
900,168,60,0.3571
960,238,126,0.5294
1020,166,103,0.6205
1080,340,182,0.5353
1140,273,157,0.5751
1200,308,225,0.7305
1260,270,185,0.6852
1320,180,147,0.8167
1380,258,203,0.7868
1440,442,363,0.8213
1500,381,284,0.7454
1560,242,232,0.9587
1620,223,181,0.8117
1680,295,261,0.8847
1740,245,215,0.8776
1800,385,349,0.9065
1860,494,476,0.9636
1920,395,377,0.9544
1980,452,433,0.9580
2040,339,324,0.9558
2100,335,327,0.9761
2160,458,458,1.0000
2220,387,382,0.9871
2280,300,297,0.9900
2340,380,366,0.9632
2400,389,386,0.9923
2460,469,461,0.9829
2520,353,353,1.0000
2580,290,290,1.0000
2640,690,690,1.0000
2700,409,409,1.0000
2760,339,337,0.9941
2820,564,562,0.9965
2880,209,208,0.9952
2940,410,410,1.0000
3000,341,341,1.0000
3060,365,365,1.0000
3120,210,210,1.0000
3180,485,485,1.0000
3240,317,317,1.0000
3300,431,431,1.0000
3360,322,322,1.0000
3420,590,589,0.9983
3480,429,428,0.9977
3540,408,408,1.0000
