node_id,work,score,connectivity,forwards,delivery_contributions
p0,3.502299,2.451609,0.0000,111,8
p1,2.488228,1.741759,0.0000,32,6
p2,1.789525,1.252668,0.0000,40,5
p3,2.442191,1.709534,0.0000,40,4
p4,0.991347,0.693943,0.0000,33,2
p5,4.356919,3.049843,0.0000,87,8
p6,1.558489,1.090943,0.0000,60,5
p7,0.254725,0.178308,0.0000,30,2
p8,3.819340,2.673538,0.0000,154,8
p9,0.880833,0.616583,0.0000,116,6
p10,1.746737,1.222716,0.0000,149,8
p11,0.484253,0.338977,0.0000,48,1
p12,0.325273,0.227691,0.0000,72,3
p13,0.212823,0.148976,0.0000,100,2
p14,2.641487,1.849041,0.0000,219,13
p15,0.964744,0.675321,0.0000,240,5
p16,1.631868,1.142307,0.0000,63,3
p17,1.459381,1.021567,0.0000,72,3
p18,0.721595,0.505116,0.0000,24,3
p19,5.423187,3.796231,0.0000,317,18
p20,2.280159,1.596112,0.0000,30,7
p21,1.747812,1.223468,0.0000,33,5
p22,2.470670,1.729469,0.0000,165,8
p23,0.241401,0.168981,0.0000,28,1
p24,5.113214,3.579250,0.0000,247,17
p25,4.586093,3.210265,0.0000,169,13
p26,1.987770,1.691439,1.0000,173,6
p27,4.754115,3.327881,0.0000,272,14
p28,1.855005,1.298503,0.0000,127,5
p29,0.440825,0.308577,0.0000,110,2
p30,1.055248,0.738674,0.0000,107,6
p31,2.907704,2.185393,0.5000,122,9
p32,2.533364,1.923355,0.5000,144,7
c33,9.613139,6.729198,0.0000,163,18
c34,8.553952,5.987766,0.0000,395,24
c35,3.678986,2.725291,0.5000,191,15
c36,5.750272,4.025190,0.0000,86,12
c37,2.800426,2.060298,0.3333,190,7
c38,4.748601,3.324021,0.0000,322,19
c39,4.848898,3.394229,0.0000,376,23
c40,5.729698,4.010789,0.0000,282,17
c41,5.884924,4.119447,0.0000,118,11
c42,3.896774,2.727741,0.0000,244,13
c43,5.570921,3.899645,0.0000,159,11
c44,6.993473,4.895431,0.0000,153,19
c45,3.889347,2.722543,0.0000,205,14
c46,3.891804,2.724263,0.0000,240,14
c47,17.136851,11.995796,0.0000,370,32
c48,9.353003,6.697102,0.5000,284,22
c49,6.174760,4.322332,0.0000,297,27
c50,0.972131,0.830492,0.5000,195,7
c51,0.000356,0.000249,0.0000,217,1
c52,6.404734,4.483314,0.0000,286,16
c53,0.954260,0.667982,0.0000,123,6
c54,3.736571,2.615600,0.0000,313,13
c55,7.272351,5.090646,0.0000,336,18
c56,5.723749,4.006624,0.0000,340,12
c57,2.972178,2.080525,0.0000,171,13
c58,14.660671,10.262470,0.0000,203,27
c59,2.475277,1.732694,0.0000,368,14
c60,3.660235,2.562164,0.0000,227,14
c61,6.462477,4.523734,0.0000,152,13
c62,13.647855,9.553498,0.0000,148,31
c63,5.120201,3.584141,0.0000,321,18
c64,0.707628,0.495340,0.0000,241,4
c65,14.742037,10.319426,0.0000,126,24
w66,2.390612,1.673428,0.0000,231,12
w67,1.629838,1.140887,0.0000,91,4
w68,2.031824,1.422277,0.0000,57,6
w69,1.793335,1.255335,0.0000,116,3
w70,3.488088,2.441662,0.0000,286,12
w71,0.626102,0.438271,0.0000,274,4
w72,4.339053,3.037337,0.0000,96,8
w73,1.073332,0.751332,0.0000,156,3
w74,0.450457,0.315320,0.0000,148,4
w75,0.196236,0.137365,0.0000,40,1
w76,0.896644,0.627651,0.0000,56,5
w77,1.195652,0.836956,0.0000,48,7
w78,0.593808,0.415666,0.0000,53,3
w79,0.194257,0.135980,0.0000,51,3
w80,0.000000,0.000000,0.0000,81,0
w81,0.196236,0.137365,0.0000,59,1
w82,3.711687,2.598181,0.0000,69,6
w83,2.267714,1.587400,0.0000,182,8
w84,2.012238,1.408567,0.0000,123,7
w85,8.749208,6.124446,0.0000,433,18
w86,0.792552,0.554786,0.0000,53,5
w87,6.276905,4.393834,0.0000,292,18
w88,0.830394,0.581276,0.0000,42,4
w89,0.000000,0.000000,0.0000,23,0
w90,0.400093,0.280065,0.0000,74,6
w91,0.144599,0.101219,0.0000,36,3
w92,0.768208,0.537746,0.0000,60,3
w93,3.653239,2.557267,0.0000,158,14
w94,2.816785,1.971749,0.0000,184,11
w95,6.103742,4.272619,0.0000,313,15
w96,0.935785,0.655050,0.0000,92,8
w97,1.419835,0.993885,0.0000,169,5
w98,0.640050,0.448035,0.0000,197,4
w99,7.867622,5.507335,0.0000,473,23
t100,4.200146,3.040102,0.3333,409,17
t101,7.719253,5.553477,0.5000,458,23
t102,1.132663,0.892864,0.3333,446,6
t103,8.107012,5.674909,0.0000,197,18
t104,0.394557,0.276190,0.0000,183,4
t105,10.450906,7.315634,0.0000,156,15
