time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.973208
300,0.942473
360,0.889040
420,0.889040
480,0.872555
540,0.845409
600,0.790894
660,0.790894
720,0.771135
780,0.762664
840,0.754890
900,0.724789
960,0.701069
1020,0.681597
1080,0.667283
1140,0.636602
1200,0.637250
1260,0.643673
1320,0.637381
1380,0.632199
1440,0.622422
1500,0.597083
1560,0.565461
1620,0.559542
1680,0.558653
1740,0.548773
1800,0.548803
1860,0.536320
1920,0.541303
1980,0.532663
2040,0.528497
2100,0.531716
2160,0.539006
2220,0.526981
2280,0.526877
2340,0.511312
2400,0.507829
2460,0.502022
2520,0.499807
2580,0.492623
2640,0.490963
2700,0.482693
2760,0.479280
2820,0.480066
2880,0.475852
2940,0.477079
3000,0.468938
3060,0.465181
3120,0.463510
3180,0.461391
3240,0.456471
3300,0.455400
3360,0.456137
3420,0.458744
3480,0.457327
3540,0.457360
