time,total_forwards,experienced_forwards,fraction_experienced
0,7,0,0.0000
60,16,0,0.0000
120,41,0,0.0000
180,71,0,0.0000
240,105,0,0.0000
300,107,1,0.0093
360,129,4,0.0310
420,186,5,0.0269
480,267,8,0.0300
540,185,21,0.1135
600,441,209,0.4739
660,543,295,0.5433
720,453,297,0.6556
780,342,222,0.6491
840,535,504,0.9421
900,427,411,0.9625
960,378,317,0.8386
1020,297,287,0.9663
1080,473,456,0.9641
1140,323,301,0.9319
1200,300,299,0.9967
1260,388,387,0.9974
1320,282,280,0.9929
1380,319,319,1.0000
1440,541,541,1.0000
1500,326,326,1.0000
1560,364,364,1.0000
1620,411,411,1.0000
1680,480,480,1.0000
1740,443,443,1.0000
1800,393,393,1.0000
1860,413,413,1.0000
1920,354,354,1.0000
1980,445,445,1.0000
2040,401,401,1.0000
2100,482,482,1.0000
2160,320,320,1.0000
2220,580,580,1.0000
2280,518,518,1.0000
2340,564,564,1.0000
2400,580,580,1.0000
2460,280,280,1.0000
2520,754,754,1.0000
2580,489,489,1.0000
2640,550,550,1.0000
2700,356,356,1.0000
2760,476,476,1.0000
2820,380,380,1.0000
2880,394,394,1.0000
2940,645,645,1.0000
3000,465,465,1.0000
3060,371,371,1.0000
3120,464,464,1.0000
3180,450,450,1.0000
3240,345,345,1.0000
3300,558,558,1.0000
3360,531,531,1.0000
3420,237,237,1.0000
3480,555,555,1.0000
3540,751,751,1.0000
