node_id,work,score,connectivity,forwards,delivery_contributions
p0,2.525539,1.767877,0.0000,221,12
p1,2.713774,1.899642,0.0000,308,5
p2,0.470924,0.329647,0.0000,48,3
p3,0.975310,0.682717,0.0000,79,1
p4,1.476206,1.033344,0.0000,266,6
p5,1.224689,0.857282,0.0000,164,5
p6,0.443921,0.310745,0.0000,57,2
p7,0.295103,0.206572,0.0000,28,2
p8,0.302519,0.361763,0.5000,99,1
p9,0.516033,0.461223,0.3333,138,2
p10,1.103091,0.772164,0.0000,153,5
p11,2.324680,1.627276,0.0000,338,9
p12,0.962655,0.673859,0.0000,193,4
p13,0.777835,0.544485,0.0000,184,3
p14,1.400995,0.980697,0.0000,115,5
p15,0.332498,0.382749,0.5000,18,2
p16,1.085153,0.759607,0.0000,186,6
p17,1.031838,0.722287,0.0000,205,6
p18,3.115735,2.181014,0.0000,179,8
p19,0.289674,0.202772,0.0000,102,3
p20,3.988230,2.891761,0.3333,429,11
p21,0.634686,0.444280,0.0000,116,3
p22,2.218543,1.552980,0.0000,146,5
p23,3.418737,2.393116,0.0000,77,6
p24,0.000000,0.000000,0.0000,66,0
p25,1.809309,1.266516,0.0000,94,7
p26,2.414244,1.689971,0.0000,69,3
p27,0.489368,0.342557,0.0000,12,2
p28,1.616062,1.131243,0.0000,63,3
p29,1.025114,0.867580,0.5000,193,4
p30,1.215631,0.850942,0.0000,219,6
p31,0.301753,0.211227,0.0000,41,2
p32,3.089638,2.162747,0.0000,125,4
p33,0.000000,0.000000,0.0000,45,0
p34,1.419449,0.993614,0.0000,188,7
p35,1.853328,1.297329,0.0000,163,6
p36,3.200374,2.240262,0.0000,293,7
p37,2.881487,2.017041,0.0000,180,9
p38,0.914749,0.640325,0.0000,311,5
p39,0.310798,0.217559,0.0000,28,2
p40,2.901286,2.030901,0.0000,204,6
p41,1.551417,1.085992,0.0000,233,3
p42,3.349871,2.344910,0.0000,110,11
p43,0.864451,0.605116,0.0000,213,4
p44,1.299088,0.909362,0.0000,371,6
p45,0.993024,0.695117,0.0000,237,2
p46,2.262553,1.583787,0.0000,153,6
p47,1.599660,1.119762,0.0000,244,3
p48,0.079306,0.055514,0.0000,104,1
p49,1.393922,0.975745,0.0000,109,3
c50,11.591437,8.114006,0.0000,236,26
c51,2.404216,1.682951,0.0000,401,6
c52,2.276312,1.593418,0.0000,269,9
c53,1.039457,0.727620,0.0000,281,4
c54,3.856010,2.699207,0.0000,404,14
c55,13.827964,9.679575,0.0000,98,19
c56,5.657105,3.959974,0.0000,488,19
c57,2.904523,2.033166,0.0000,226,12
c58,5.502105,3.851473,0.0000,332,11
c59,5.572341,3.900638,0.0000,184,12
c60,10.313143,7.219200,0.0000,409,29
c61,4.133976,2.893783,0.0000,355,13
c62,3.086279,2.160395,0.0000,564,11
c63,5.164112,3.714879,0.3333,292,17
c64,4.872564,3.410795,0.0000,476,11
c65,3.532556,2.472789,0.0000,247,11
c66,9.682402,6.877681,0.3333,96,16
c67,7.143996,5.000797,0.0000,229,17
c68,4.522280,3.165596,0.0000,518,12
c69,2.411031,1.687722,0.0000,441,10
c70,5.724346,4.007043,0.0000,262,16
c71,3.190535,2.233375,0.0000,478,12
c72,5.870791,4.109554,0.0000,372,16
c73,2.496287,1.747401,0.0000,379,8
c74,4.891777,3.424244,0.0000,340,11
c75,2.616336,1.831435,0.0000,646,9
c76,8.922633,6.245843,0.0000,408,18
c77,3.678875,2.575213,0.0000,388,15
c78,5.724956,4.107469,0.3333,361,19
c79,4.064036,2.844825,0.0000,527,14
c80,2.878596,2.015017,0.0000,374,9
c81,4.284821,2.999375,0.0000,241,16
c82,10.042291,7.179604,0.5000,149,15
c83,10.978513,7.784959,0.3333,353,23
c84,7.583672,5.308570,0.0000,347,18
c85,6.419110,4.493377,0.0000,400,13
c86,1.023645,0.866552,0.5000,310,5
c87,2.800384,1.960268,0.0000,370,8
c88,2.540952,1.778667,0.0000,270,8
c89,4.474955,3.132468,0.0000,344,15
c90,6.480946,4.536662,0.0000,277,16
c91,5.626298,4.038408,0.3333,210,14
c92,1.589113,1.112379,0.0000,243,5
c93,13.075425,9.152798,0.0000,223,23
c94,6.233823,4.363676,0.0000,282,17
c95,7.700631,5.390441,0.0000,102,17
c96,4.822527,3.375769,0.0000,261,12
c97,5.798563,4.058994,0.0000,457,11
c98,5.300531,3.710372,0.0000,232,12
c99,5.494307,3.846015,0.0000,384,13
w100,0.316398,0.221478,0.0000,61,2
w101,0.195896,0.137127,0.0000,167,2
w102,4.193811,2.935668,0.0000,203,13
w103,0.306642,0.214649,0.0000,98,3
w104,0.386740,0.270718,0.0000,293,4
