time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.984277
360,0.968619
420,0.947694
480,0.934068
540,0.902047
600,0.896244
660,0.859987
720,0.859987
780,0.862620
840,0.817853
900,0.768339
960,0.760806
1020,0.746408
1080,0.752002
1140,0.736217
1200,0.731650
1260,0.730084
1320,0.714880
1380,0.694653
1440,0.691746
1500,0.688298
1560,0.672217
1620,0.664817
1680,0.640747
1740,0.622454
1800,0.615975
1860,0.604659
1920,0.606552
1980,0.608873
2040,0.601582
2100,0.600190
2160,0.585540
2220,0.574568
2280,0.571358
2340,0.565001
2400,0.556145
2460,0.557580
2520,0.549847
2580,0.545597
2640,0.544131
2700,0.540414
2760,0.539894
2820,0.536028
2880,0.536135
2940,0.530815
3000,0.527274
3060,0.523788
3120,0.517514
3180,0.516656
3240,0.517442
3300,0.518678
3360,0.518728
3420,0.516173
3480,0.516199
3540,0.516247
