node_id,work,score,connectivity,forwards,delivery_contributions
p0,3.462519,2.423763,0.0000,256,13
p1,0.293714,0.205600,0.0000,165,1
p2,1.607911,1.125538,0.0000,37,5
p3,0.000000,0.000000,0.0000,36,0
p4,3.192703,2.234892,0.0000,113,10
p5,1.686767,1.180737,0.0000,314,5
p6,2.537086,1.775960,0.0000,53,4
p7,0.272951,0.341065,0.5000,145,2
p8,0.302216,0.211551,0.0000,123,2
p9,2.027447,1.419213,0.0000,309,7
p10,1.955630,1.368941,0.0000,170,6
p11,2.440962,1.858673,0.5000,130,8
p12,0.530313,0.371219,0.0000,157,3
p13,0.522204,0.365543,0.0000,207,3
p14,2.394900,1.676430,0.0000,341,9
p15,0.820610,0.574427,0.0000,128,3
p16,1.341651,0.939156,0.0000,186,3
p17,1.733576,1.213503,0.0000,125,6
p18,1.925804,1.348063,0.0000,180,8
p19,0.311241,0.217869,0.0000,124,2
p20,2.528828,1.770179,0.0000,192,6
p21,0.922073,0.645451,0.0000,92,4
p22,0.000000,0.000000,0.0000,67,0
p23,2.213014,1.549110,0.0000,466,10
p24,3.700522,2.590365,0.0000,404,8
p25,4.426233,3.098363,0.0000,290,9
p26,2.887404,2.021183,0.0000,46,5
p27,0.665934,0.466154,0.0000,305,3
p28,5.092782,3.564947,0.0000,362,13
p29,2.630399,1.841279,0.0000,88,6
p30,0.325307,0.227715,0.0000,224,3
p31,0.553961,0.387773,0.0000,20,3
p32,1.480798,1.036559,0.0000,101,4
p33,1.285459,0.899821,0.0000,225,4
p34,2.152283,1.506598,0.0000,154,8
p35,0.641057,0.448740,0.0000,77,4
p36,3.041747,2.129223,0.0000,318,14
p37,1.798509,1.258956,0.0000,51,8
p38,5.570308,3.899215,0.0000,286,12
p39,0.580762,0.406533,0.0000,120,3
p40,3.903945,2.732762,0.0000,392,10
p41,0.527367,0.369157,0.0000,38,2
p42,0.194261,0.135982,0.0000,215,2
p43,1.039060,0.727342,0.0000,80,5
p44,0.486194,0.340336,0.0000,83,1
p45,0.048843,0.034190,0.0000,142,1
p46,0.528122,0.369685,0.0000,50,3
p47,0.000000,0.000000,0.0000,235,0
p48,0.569595,0.398717,0.0000,361,4
p49,1.256706,0.879694,0.0000,131,3
c50,11.391810,7.974267,0.0000,302,24
c51,6.071858,4.250301,0.0000,169,11
c52,2.377830,1.664481,0.0000,407,8
c53,12.729571,8.910699,0.0000,210,20
c54,7.659013,5.361309,0.0000,365,17
c55,1.765550,1.235885,0.0000,600,9
c56,5.738837,4.017186,0.0000,211,12
c57,3.402896,2.382027,0.0000,297,12
c58,8.177319,5.724123,0.0000,244,20
c59,6.471680,4.530176,0.0000,151,11
c60,8.852860,6.197002,0.0000,292,15
c61,6.949507,4.864655,0.0000,226,16
c62,8.122671,5.685870,0.0000,317,18
c63,8.107181,5.825027,0.5000,159,16
c64,4.672711,3.270898,0.0000,496,14
c65,6.066985,4.246889,0.0000,329,13
c66,9.875089,6.912562,0.0000,261,20
c67,5.462988,3.824092,0.0000,345,15
c68,9.810233,6.867163,0.0000,158,17
c69,5.268870,3.688209,0.0000,142,10
c70,12.585449,8.809814,0.0000,279,19
c71,2.147404,1.503183,0.0000,381,4
c72,2.929594,2.050716,0.0000,344,11
c73,1.608077,1.125654,0.0000,181,6
c74,2.968286,2.077800,0.0000,250,9
c75,3.332917,2.333042,0.0000,616,12
c76,2.305615,1.613931,0.0000,677,11
c77,10.090156,7.063109,0.0000,306,19
c78,4.131045,2.891731,0.0000,351,13
c79,4.551801,3.186260,0.0000,373,17
c80,13.031409,9.121986,0.0000,138,26
c81,7.109130,4.976391,0.0000,379,17
c82,5.594401,3.916080,0.0000,104,12
c83,2.328299,1.779809,0.5000,253,10
c84,7.665339,5.365737,0.0000,206,19
c85,5.580930,3.906651,0.0000,150,16
c86,1.712353,1.198647,0.0000,283,6
c87,3.291709,2.304196,0.0000,479,13
c88,0.179526,0.125668,0.0000,204,1
c89,0.618819,0.433173,0.0000,334,3
c90,7.439278,5.207495,0.0000,191,14
c91,3.262032,2.283423,0.0000,280,12
c92,7.135575,4.994902,0.0000,326,13
c93,11.726189,8.208332,0.0000,197,23
c94,3.468161,2.427713,0.0000,290,13
c95,3.204163,2.242914,0.0000,317,11
c96,5.481192,3.836835,0.0000,212,14
c97,13.674169,9.571919,0.0000,251,27
c98,4.243551,2.970486,0.0000,421,13
c99,5.765371,4.035760,0.0000,158,10
w100,0.626198,0.438339,0.0000,263,3
w101,0.698931,0.489252,0.0000,222,3
w102,1.861762,1.303233,0.0000,244,9
w103,0.244316,0.171021,0.0000,313,1
w104,1.512529,1.058770,0.0000,156,7
w105,1.609529,1.126670,0.0000,112,6
w106,1.701710,1.191197,0.0000,37,5
w107,0.317896,0.222527,0.0000,82,2
w108,0.912111,0.638477,0.0000,92,6
w109,0.000000,0.150000,0.5000,78,0
w110,1.452630,1.166841,0.5000,240,8
w111,0.235773,0.165041,0.0000,16,2
w112,3.330397,2.331278,0.0000,305,9
w113,4.490541,3.143379,0.0000,145,10
w114,2.669987,1.868991,0.0000,152,6
w115,1.191445,0.834011,0.0000,11,2
w116,2.232467,1.562727,0.0000,201,6
w117,0.195452,0.136817,0.0000,88,1
w118,0.909385,0.636570,0.0000,228,5
w119,0.000000,0.000000,0.0000,3,0
w120,2.225767,1.558037,0.0000,281,6
w121,1.952304,1.366612,0.0000,57,8
w122,3.733877,2.613714,0.0000,382,13
w123,2.161540,1.513078,0.0000,166,6
w124,1.813045,1.269131,0.0000,86,4
w125,0.382468,0.267727,0.0000,68,3
w126,0.283037,0.198126,0.0000,16,2
w127,0.419487,0.293641,0.0000,30,3
w128,0.359731,0.251812,0.0000,125,3
w129,1.170151,0.819105,0.0000,349,5
w130,1.233389,0.863372,0.0000,270,3
w131,1.156816,0.809771,0.0000,190,3
w132,0.508166,0.355716,0.0000,104,2
w133,1.352765,0.946935,0.0000,139,7
w134,1.240166,0.868116,0.0000,91,5
w135,1.069441,0.748608,0.0000,37,6
w136,2.687285,1.881100,0.0000,331,8
w137,1.939056,1.357339,0.0000,279,8
w138,0.193701,0.135591,0.0000,6,1
w139,0.364223,0.254956,0.0000,102,2
w140,0.380847,0.266593,0.0000,175,3
w141,1.050489,0.735342,0.0000,89,4
w142,4.420820,3.094574,0.0000,240,13
w143,5.219104,3.653372,0.0000,210,16
w144,0.312430,0.218701,0.0000,103,4
w145,0.000000,0.000000,0.0000,53,1
w146,0.966540,0.676578,0.0000,159,3
w147,1.601822,1.121275,0.0000,26,6
w148,0.776210,0.543347,0.0000,102,4
w149,4.231720,2.962204,0.0000,298,9
t150,13.911983,9.888388,0.5000,213,25
t151,4.430318,3.251223,0.5000,450,16
t152,11.254083,7.877858,0.0000,362,24
t153,6.976971,4.883879,0.0000,295,15
t154,2.955718,2.069003,0.0000,365,6
t155,2.850331,1.995231,0.0000,407,8
