time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.000000
360,0.918858
420,0.918858
480,0.896667
540,0.896667
600,0.844768
660,0.844768
720,0.831578
780,0.815979
840,0.808746
900,0.809834
960,0.809834
1020,0.773508
1080,0.781346
1140,0.717092
1200,0.717092
1260,0.703115
1320,0.676718
1380,0.631930
1440,0.611374
1500,0.613943
1560,0.603867
1620,0.592286
1680,0.595733
1740,0.588387
1800,0.586657
1860,0.581300
1920,0.582995
1980,0.581618
2040,0.582459
2100,0.575975
2160,0.575532
2220,0.573626
2280,0.567894
2340,0.565266
2400,0.557366
2460,0.554503
2520,0.545613
2580,0.551505
2640,0.550376
2700,0.538106
2760,0.522444
2820,0.519636
2880,0.519959
2940,0.510011
3000,0.510254
3060,0.507502
3120,0.504487
3180,0.496959
3240,0.498294
3300,0.498117
3360,0.491367
3420,0.480901
3480,0.480901
3540,0.471287
