time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.973208
360,0.966087
420,0.940883
480,0.940883
540,0.886840
600,0.861476
660,0.846024
720,0.817041
780,0.775031
840,0.763545
900,0.718263
960,0.693514
1020,0.674842
1080,0.673229
1140,0.648785
1200,0.633753
1260,0.632718
1320,0.603880
1380,0.604484
1440,0.606878
1500,0.605341
1560,0.594577
1620,0.596699
1680,0.587391
1740,0.574483
1800,0.573617
1860,0.566963
1920,0.566784
1980,0.569011
2040,0.558912
2100,0.558007
2160,0.557363
2220,0.556136
2280,0.547009
2340,0.544840
2400,0.549179
2460,0.541334
2520,0.538894
2580,0.538071
2640,0.540117
2700,0.531482
2760,0.524026
2820,0.518514
2880,0.518207
2940,0.513050
3000,0.513018
3060,0.512929
3120,0.510694
3180,0.517863
3240,0.510422
3300,0.499979
3360,0.493872
3420,0.487034
3480,0.479312
3540,0.477436
