latency,hops,proof_bytes
124.80,2,256
129.40,5,640
198.50,4,512
233.40,4,512
91.30,2,256
119.20,2,256
242.00,2,256
433.80,309,39552
242.60,3,384
307.40,5,640
54.60,1,128
349.70,3,384
383.60,2,256
545.90,106,13568
105.90,2,256
482.20,3,384
616.00,4,512
341.10,4,512
355.20,2,256
616.30,7,896
387.20,2,256
319.70,3,384
630.10,3,384
555.20,3,384
283.10,2,256
739.20,3,384
602.30,2,256
509.00,5,640
441.50,3,384
630.10,7,896
409.80,2,256
656.30,7,896
491.20,5,640
593.50,4,512
174.70,2,256
658.40,5,640
900.30,4,512
95.10,3,384
819.20,4,512
669.90,328,41984
587.10,3,384
838.60,4,512
687.10,3,384
285.70,2,256
1039.50,4,512
965.80,9,1152
971.50,3,384
387.80,4,512
748.80,4,512
232.60,2,256
825.60,3,384
664.30,3,384
1029.50,4,512
903.20,5,640
667.60,41,5248
1070.60,6,768
1028.70,751,96128
336.20,3,384
835.20,4,512
776.90,2,256
986.90,37,4736
1059.90,4,512
742.70,4,512
1046.00,6,768
556.30,3,384
705.70,3,384
599.90,6,768
1137.60,2,256
1035.30,5,640
590.00,2,256
156.80,3,384
957.10,6,768
1227.60,5,640
927.70,8,1024
1339.80,6,768
801.80,4,512
720.10,4,512
983.90,5,640
69.10,2,256
965.60,6,768
24.40,1,128
144.60,2,256
677.10,1,128
1207.90,3,384
1030.00,3,384
841.90,95,12160
912.30,1,128
1015.40,3,384
973.80,7,896
1184.00,5,640
556.50,1,128
1467.30,45,5760
1109.00,3,384
1484.80,37,4736
1182.40,6,768
687.60,2,256
1233.70,45,5760
1405.80,8,1024
798.00,5,640
313.50,2,256
680.00,1,128
1270.70,7,896
875.80,2,256
658.00,2,256
1129.30,3,384
254.70,3,384
807.00,3,384
972.30,1,128
1160.60,16,2048
838.10,6,768
768.30,3,384
944.30,4,512
1080.80,5,640
172.70,2,256
1289.20,5,640
1093.20,5,640
266.90,2,256
399.40,2,256
1195.30,6,768
647.90,4,512
637.00,3,384
150.20,3,384
1276.20,6,768
77.10,2,256
835.60,4,512
888.70,3,384
798.10,3,384
219.70,3,384
1146.80,5,640
868.10,4,512
368.00,4,512
1015.40,3,384
1630.00,4,512
261.90,1,128
1498.80,4,512
1484.30,3,384
760.40,4,512
1110.50,4,512
1173.50,5,640
1224.20,4,512
653.10,5,640
814.60,3,384
421.90,3,384
804.50,3,384
1624.60,4,512
1562.20,143,18304
863.10,3,384
856.50,6,768
1180.90,5,640
1207.20,6,768
1343.30,7,896
930.60,5,640
693.40,4,512
841.50,3,384
1045.10,7,896
1131.60,6,768
1208.40,6,768
1287.10,3,384
920.40,4,512
427.50,1,128
1006.20,1,128
1180.40,2,256
822.10,6,768
818.10,4,512
1566.00,2,256
1636.90,3,384
1202.10,4,512
509.40,2,256
679.90,5,640
293.00,3,384
970.10,4,512
849.10,3,384
439.70,2,256
1174.60,4,512
735.20,2,256
186.90,1,128
2082.50,8,1024
1384.80,5,640
2003.00,4,512
839.80,1,128
1724.10,4,512
1707.20,6,768
1476.50,2,256
1013.90,6,768
1370.70,416,53248
271.40,1,128
1162.50,2,256
1610.60,6,768
306.70,3,384
139.10,1,128
728.80,2,256
510.80,4,512
1050.60,7,896
533.70,2,256
1261.00,7,896
1318.00,3,384
1990.10,4,512
757.30,2,256
1674.00,5,640
611.00,2,256
1085.20,2,256
1224.00,1,128
579.20,3,384
759.20,4,512
468.40,4,512
884.50,4,512
1168.80,6,768
450.30,3,384
1322.60,4,512
1602.70,2,256
950.70,5,640
1314.80,3,384
1374.30,5,640
1483.90,4,512
215.00,2,256
1055.60,1,128
2284.70,4,512
2347.80,4,512
436.80,2,256
1529.70,4,512
308.20,1,128
1940.10,3,384
770.60,181,23168
984.50,1,128
1791.10,97,12416
963.00,3,384
876.70,1,128
1660.40,5,640
742.50,4,512
69.20,2,256
1832.80,2,256
1242.30,3,384
1594.40,1,128
1004.30,2,256
288.40,4,512
2092.50,5,640
626.10,2,256
1130.90,4,512
2165.50,4,512
442.10,1,128
2038.50,3,384
1983.60,229,29312
1334.40,7,896
1222.00,3,384
2266.90,4,512
1586.90,2,256
1502.40,2,256
654.60,2,256
688.60,2,256
1886.10,6,768
1986.90,2,256
783.70,2,256
1046.40,2,256
1585.20,4,512
1159.30,5,640
1512.50,8,1024
1205.60,3,384
1511.70,5,640
1486.40,4,512
1438.50,5,640
267.90,3,384
410.80,2,256
1589.90,6,768
1896.00,6,768
579.10,3,384
2394.90,5,640
1881.00,3,384
1914.00,4,512
2344.90,5,640
815.70,5,640
1215.40,2,256
306.90,1,128
811.70,81,10368
1080.10,1,128
2432.10,5,640
1498.20,5,640
1628.50,3,384
2386.10,4,512
1992.30,5,640
1235.60,131,16768
1038.90,1,128
2113.50,5,640
1204.50,4,512
1012.30,2,256
1071.90,3,384
1251.50,3,384
1662.40,149,19072
1674.50,3,384
727.10,4,512
820.20,2,256
913.10,121,15488
1634.20,80,10240
1712.90,3,384
279.70,2,256
1265.30,3,384
666.00,2,256
2244.60,4,512
539.20,1,128
89.20,1,128
1711.20,4,512
957.80,3,384
2355.60,7,896
708.90,3,384
1934.00,4,512
2068.90,5,640
1455.90,118,15104
1420.00,3,384
1319.20,2,256
967.30,2,256
951.00,1,128
1870.20,2,256
2341.00,6,768
1361.90,24,3072
767.30,1,128
682.50,5,640
343.60,1,128
1282.30,2,256
1764.40,5,640
1555.30,6,768
