node_id,work,score,connectivity,forwards,delivery_contributions
p0,1.337993,0.936595,0.0000,81,7
p1,3.077612,2.154329,0.0000,57,6
p2,3.623896,2.536727,0.0000,237,11
p3,1.824456,1.277119,0.0000,34,2
p4,1.733662,1.363563,0.5000,66,5
p5,1.958241,1.520769,0.5000,56,5
p6,0.983954,0.688768,0.0000,132,4
p7,1.080619,0.756434,0.0000,38,2
p8,1.823071,1.276150,0.0000,216,6
p9,0.708165,0.495716,0.0000,28,3
p10,1.076778,0.753745,0.0000,57,5
p11,1.859325,1.301528,0.0000,177,5
p12,1.304350,0.913045,0.0000,67,4
p13,0.261545,0.183082,0.0000,10,1
p14,0.877199,0.614039,0.0000,121,7
p15,3.273919,2.291743,0.0000,104,11
p16,2.449255,1.714478,0.0000,208,8
p17,0.562062,0.393444,0.0000,42,4
p18,0.325103,0.227572,0.0000,14,1
p19,1.891592,1.324115,0.0000,51,4
p20,1.432559,1.002792,0.0000,56,4
p21,1.246795,0.872756,0.0000,64,6
p22,1.469455,1.028618,0.0000,15,2
p23,0.850556,0.595389,0.0000,45,4
p24,2.222332,1.555632,0.0000,235,10
p25,0.736872,0.515810,0.0000,19,2
p26,1.081416,0.756991,0.0000,60,8
p27,0.577669,0.404368,0.0000,63,4
p28,0.266064,0.186245,0.0000,44,2
p29,0.248256,0.323779,0.5000,51,1
p30,2.027429,1.419200,0.0000,238,8
p31,3.666447,2.566513,0.0000,40,6
p32,0.372652,0.260856,0.0000,58,5
c33,9.232105,6.462474,0.0000,248,25
c34,6.323446,4.426412,0.0000,188,12
c35,4.620014,3.234010,0.0000,97,10
c36,4.574842,3.202389,0.0000,100,8
c37,7.415556,5.190889,0.0000,136,15
c38,9.833699,6.883589,0.0000,11,10
c39,5.941103,4.158772,0.0000,180,15
c40,3.320896,2.324627,0.0000,259,12
c41,7.335370,5.284759,0.5000,87,14
c42,1.363821,0.954675,0.0000,247,5
c43,6.162687,4.313881,0.0000,269,14
c44,5.676084,3.973259,0.0000,187,17
c45,6.175585,4.322910,0.0000,138,10
c46,11.688498,8.181949,0.0000,229,25
c47,9.679012,6.775308,0.0000,99,26
c48,6.069303,4.248512,0.0000,150,16
c49,0.611297,0.427908,0.0000,168,7
c50,3.983347,2.788343,0.0000,309,9
c51,1.310885,0.917619,0.0000,218,6
c52,4.909145,3.436402,0.0000,146,12
c53,4.970806,3.629564,0.5000,239,12
c54,0.564926,0.395448,0.0000,112,2
c55,1.306081,0.914257,0.0000,314,6
c56,3.940238,2.758167,0.0000,202,10
c57,3.132611,2.192828,0.0000,280,9
c58,8.030770,5.621539,0.0000,203,19
c59,6.282851,4.397996,0.0000,96,16
c60,6.747451,4.723216,0.0000,122,11
c61,4.390471,3.073330,0.0000,216,9
c62,1.961994,1.373396,0.0000,223,7
c63,7.071131,4.949791,0.0000,94,15
c64,2.802969,1.962079,0.0000,204,6
c65,3.349791,2.344854,0.0000,210,15
w66,3.394063,2.375844,0.0000,135,8
w67,0.468199,0.327739,0.0000,62,4
w68,0.828100,0.579670,0.0000,65,5
w69,0.993024,0.695117,0.0000,17,1
w70,1.109516,0.776661,0.0000,58,5
w71,1.507285,1.055100,0.0000,94,4
w72,0.089461,0.062622,0.0000,43,2
w73,0.201491,0.141044,0.0000,80,2
w74,0.982257,0.687580,0.0000,28,2
w75,4.226220,2.958354,0.0000,216,11
w76,2.004123,1.402886,0.0000,41,6
w77,3.654370,2.558059,0.0000,231,13
w78,0.684269,0.478988,0.0000,118,3
w79,1.490254,1.043178,0.0000,95,4
w80,1.636180,1.145326,0.0000,73,7
w81,0.978597,0.760018,0.2500,98,5
w82,1.120611,0.784428,0.0000,59,4
w83,2.643206,1.850244,0.0000,92,6
w84,3.626295,2.538407,0.0000,105,10
w85,2.435150,1.704605,0.0000,79,3
w86,2.887987,2.021591,0.0000,195,8
w87,0.708634,0.496044,0.0000,41,2
w88,1.236437,0.865506,0.0000,31,4
w89,0.000000,0.000000,0.0000,11,0
w90,7.185056,5.179539,0.5000,232,11
w91,3.917127,2.741989,0.0000,89,9
w92,1.418852,0.993197,0.0000,134,7
w93,0.948863,0.664204,0.0000,87,3
w94,1.067323,0.747126,0.0000,43,6
w95,3.394704,2.376293,0.0000,153,11
w96,3.725648,2.607953,0.0000,191,6
w97,0.687024,0.480917,0.0000,158,2
w98,2.116399,1.481479,0.0000,64,4
w99,1.045108,0.731576,0.0000,150,5
t100,9.961952,7.073366,0.3333,436,32
t101,10.818984,7.723289,0.5000,166,27
t102,11.672486,8.170740,0.0000,69,18
t103,7.064533,4.945173,0.0000,210,14
t104,0.000000,0.000000,0.0000,85,0
t105,9.172980,6.421086,0.0000,133,15
