time,total_forwards,experienced_forwards,fraction_experienced
0,3,0,0.0000
60,31,0,0.0000
120,65,0,0.0000
180,78,0,0.0000
240,134,2,0.0149
300,199,44,0.2211
360,190,16,0.0842
420,283,130,0.4594
480,330,273,0.8273
540,354,298,0.8418
600,281,229,0.8149
660,384,345,0.8984
720,305,268,0.8787
780,322,314,0.9752
840,311,302,0.9711
900,498,498,1.0000
960,342,342,1.0000
1020,546,546,1.0000
1080,650,650,1.0000
1140,488,488,1.0000
1200,390,390,1.0000
1260,446,446,1.0000
1320,328,328,1.0000
1380,349,349,1.0000
1440,347,347,1.0000
1500,487,487,1.0000
1560,437,437,1.0000
1620,263,263,1.0000
1680,334,334,1.0000
1740,427,427,1.0000
1800,416,416,1.0000
1860,515,515,1.0000
1920,509,509,1.0000
1980,715,715,1.0000
2040,450,450,1.0000
2100,700,700,1.0000
2160,369,369,1.0000
2220,612,612,1.0000
2280,461,461,1.0000
2340,557,557,1.0000
2400,628,628,1.0000
2460,415,415,1.0000
2520,471,471,1.0000
2580,388,388,1.0000
2640,440,440,1.0000
2700,176,176,1.0000
2760,320,320,1.0000
2820,438,438,1.0000
2880,335,335,1.0000
2940,298,298,1.0000
3000,430,430,1.0000
3060,259,259,1.0000
3120,301,301,1.0000
3180,309,309,1.0000
3240,314,314,1.0000
3300,374,374,1.0000
3360,226,226,1.0000
3420,580,580,1.0000
3480,416,416,1.0000
3540,669,669,1.0000
