latency,hops,proof_bytes
190.40,4,512
63.50,1,128
213.80,1,128
360.10,250,32000
281.80,2,256
98.10,1,128
551.50,1,128
589.10,3,384
427.40,47,6016
514.50,3,384
545.80,3,384
58.30,1,128
204.80,4,512
572.00,6,768
369.70,3,384
344.20,1,128
351.70,5,640
600.60,3,384
523.70,3,384
580.20,4,512
621.70,4,512
728.50,3,384
352.40,3,384
291.80,3,384
780.50,5,640
568.60,2,256
235.70,4,512
414.20,2,256
708.00,5,640
563.00,3,384
681.20,5,640
545.70,5,640
565.90,5,640
477.20,2,256
719.60,4,512
680.10,5,640
827.00,1,128
770.30,1,128
320.10,3,384
838.30,3,384
665.50,134,17152
672.90,7,896
879.30,5,640
141.90,2,256
456.80,3,384
974.20,6,768
941.30,7,896
680.70,5,640
741.70,5,640
338.00,3,384
918.30,2,256
882.40,5,640
243.00,2,256
475.30,36,4608
565.40,3,384
443.20,4,512
480.10,2,256
665.30,1,128
1196.50,1,128
989.70,3,384
1177.70,129,16512
135.70,1,128
831.00,5,640
272.20,1,128
170.30,1,128
842.40,3,384
760.40,2,256
644.50,3,384
694.60,3,384
481.70,3,384
567.90,4,512
816.50,3,384
1096.00,2,256
702.70,4,512
478.50,2,256
820.20,1,128
991.40,3,384
1017.60,4,512
819.30,2,256
933.30,5,640
817.00,8,1024
872.70,5,640
557.80,786,100608
660.40,1,128
1313.30,4,512
477.00,2,256
1037.00,4,512
1479.20,5,640
642.90,6,768
399.80,2,256
773.20,25,3200
1269.50,5,640
834.50,2,256
806.30,4,512
1090.30,4,512
825.20,3,384
955.20,4,512
1345.30,7,896
874.40,4,512
727.50,120,15360
699.80,4,512
119.90,2,256
894.80,4,512
484.50,1,128
338.30,2,256
1088.70,2,256
519.30,2,256
362.40,2,256
443.80,2,256
448.50,3,384
789.00,3,384
1042.30,6,768
781.50,2,256
1660.00,173,22144
118.40,2,256
718.60,2,256
736.70,429,54912
806.90,2,256
1247.80,3,384
604.30,4,512
861.30,3,384
1434.40,4,512
504.50,1,128
1426.30,7,896
526.80,3,384
1579.80,3,384
813.00,3,384
745.10,2,256
535.10,5,640
1559.50,3,384
1549.60,6,768
1099.10,1,128
1498.40,6,768
480.50,2,256
1747.00,3,384
1285.10,26,3328
882.80,1597,204416
1591.50,2,256
1206.00,124,15872
1094.60,5,640
634.20,4,512
688.80,4,512
193.20,2,256
1175.30,6,768
1206.20,4,512
1277.40,3,384
1306.50,3,384
887.60,3,384
1363.80,2,256
1875.00,4,512
1125.10,232,29696
1130.80,2,256
1409.00,109,13952
1193.60,7,896
868.20,4,512
772.00,2,256
1217.90,3,384
1031.00,3,384
1403.50,4,512
411.60,3,384
620.80,3,384
1716.30,3,384
1337.40,4,512
1506.20,7,896
512.90,3,384
540.70,4,512
662.30,3,384
1679.20,6,768
1311.00,5,640
153.10,1,128
1203.10,3,384
1248.80,4,512
332.80,2,256
1896.80,4,512
406.60,1,128
610.20,1,128
1136.80,1,128
294.90,2,256
610.80,13,1664
737.80,4,512
1324.30,2,256
1786.10,3,384
2364.20,6,768
2123.30,4,512
1499.70,4,512
1422.00,2,256
2128.20,3,384
1168.80,3,384
1259.40,4,512
1567.40,7,896
1088.60,2,256
781.00,4,512
1046.30,3,384
2046.90,5,640
1157.80,3,384
1172.80,2,256
1308.90,4,512
1955.80,6,768
996.60,3,384
1021.50,2,256
2336.00,2,256
1839.00,4,512
274.80,3,384
321.90,3,384
416.60,2,256
950.70,2,256
304.10,2,256
139.20,1,128
775.40,2,256
437.30,2,256
1007.20,4,512
894.10,3,384
1347.80,2,256
1140.40,2,256
810.40,9,1152
1749.30,22,2816
1559.60,6,768
664.50,2,256
675.80,2,256
1388.40,2,256
1071.50,1,128
1312.50,3,384
709.20,4,512
604.30,2,256
2185.30,28,3584
1204.50,2,256
1334.10,2,256
1055.80,3,384
987.60,2,256
1642.70,6,768
1782.70,4,512
96.40,3,384
1848.70,4,512
1479.80,8,1024
210.30,4,512
1674.60,3,384
724.90,1,128
1133.10,7,896
444.60,3,384
1443.40,3,384
1580.70,4,512
1423.40,3,384
392.00,1,128
551.00,272,34816
995.70,4,512
946.50,2,256
1664.60,2,256
739.10,2,256
1860.60,2,256
447.60,5,640
465.90,3,384
1977.90,5,640
1618.00,2,256
748.10,4,512
1785.40,5,640
1589.20,3,384
615.30,4,512
318.50,2,256
1607.00,4,512
1081.90,2,256
1419.70,2,256
1412.30,3,384
378.80,1,128
1586.90,3,384
1358.30,3,384
1676.50,3,384
731.60,2,256
3010.90,3213,411264
688.10,2,256
1588.20,3,384
803.30,4,512
556.80,3,384
1102.30,3,384
560.70,2,256
638.10,5,640
2508.60,7,896
2819.80,3,384
3231.90,4,512
3120.00,5,640
689.70,2,256
1425.80,3,384
811.00,3,384
1621.10,4,512
329.50,1,128
1294.80,3,384
2785.90,5,640
2036.80,3,384
1640.90,2,256
601.00,2,256
1169.00,2,256
1335.20,2,256
2340.30,3,384
1704.40,5,640
1968.50,4,512
1809.40,5,640
1853.90,3,384
1535.10,4,512
1136.90,3,384
79.10,3,384
511.20,5,640
1915.40,4,512
2157.20,4,512
2699.40,3,384
1716.50,1,128
1043.80,3,384
2283.10,2,256
1366.30,2,256
1697.90,5,640
1809.00,6,768
86.20,1,128
1016.40,2,256
14.10,1,128
1856.10,3,384
1675.00,19,2432
608.10,2,256
185.70,1,128
1440.80,4,512
1327.30,3,384
1456.60,2,256
767.00,5,640
751.90,1,128
2116.40,5,640
