time,total_forwards,experienced_forwards,fraction_experienced
0,2,0,0.0000
60,9,0,0.0000
120,6,0,0.0000
180,32,0,0.0000
240,57,0,0.0000
300,82,0,0.0000
360,71,0,0.0000
420,134,0,0.0000
480,124,0,0.0000
540,275,15,0.0545
600,171,20,0.1170
660,262,29,0.1107
720,208,66,0.3173
780,253,40,0.1581
840,228,46,0.2018
900,229,83,0.3624
960,167,59,0.3533
1020,245,79,0.3224
1080,247,116,0.4696
1140,112,44,0.3929
1200,154,108,0.7013
1260,287,216,0.7526
1320,162,117,0.7222
1380,227,178,0.7841
1440,287,275,0.9582
1500,285,246,0.8632
1560,129,109,0.8450
1620,205,137,0.6683
1680,224,215,0.9598
1740,140,117,0.8357
1800,329,310,0.9422
1860,253,249,0.9842
1920,151,143,0.9470
1980,203,165,0.8128
2040,386,381,0.9870
2100,246,224,0.9106
2160,149,139,0.9329
2220,225,215,0.9556
2280,154,149,0.9675
2340,276,201,0.7283
2400,221,204,0.9231
2460,215,197,0.9163
2520,213,202,0.9484
2580,239,229,0.9582
2640,349,344,0.9857
2700,413,409,0.9903
2760,431,428,0.9930
2820,167,148,0.8862
2880,437,437,1.0000
2940,290,289,0.9966
3000,209,208,0.9952
3060,196,196,1.0000
3120,257,257,1.0000
3180,393,393,1.0000
3240,336,334,0.9940
3300,253,252,0.9960
3360,342,269,0.7865
3420,426,425,0.9977
3480,263,263,1.0000
3540,328,328,1.0000
