time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.990566
360,0.965170
420,0.950174
480,0.943439
540,0.928699
600,0.834399
660,0.826343
720,0.784920
780,0.783621
840,0.746626
900,0.731633
960,0.698605
1020,0.693443
1080,0.654193
1140,0.654193
1200,0.647003
1260,0.635639
1320,0.613045
1380,0.592790
1440,0.586842
1500,0.581657
1560,0.567108
1620,0.565981
1680,0.566584
1740,0.549999
1800,0.550360
1860,0.540670
1920,0.517525
1980,0.512006
2040,0.509353
2100,0.507421
2160,0.500721
2220,0.497726
2280,0.497616
2340,0.501083
2400,0.497885
2460,0.485709
2520,0.483646
2580,0.487228
2640,0.481244
2700,0.471964
2760,0.473276
2820,0.480286
2880,0.476309
2940,0.474802
3000,0.474787
3060,0.474276
3120,0.471792
3180,0.468533
3240,0.464501
3300,0.461858
3360,0.459960
3420,0.460591
3480,0.460075
3540,0.455588
