time,total_forwards,experienced_forwards,fraction_experienced
0,0,0,0.0000
60,6,0,0.0000
120,22,0,0.0000
180,33,0,0.0000
240,57,0,0.0000
300,61,0,0.0000
360,131,1,0.0076
420,118,3,0.0254
480,105,1,0.0095
540,123,28,0.2276
600,168,25,0.1488
660,96,41,0.4271
720,140,11,0.0786
780,241,60,0.2490
840,315,67,0.2127
900,363,219,0.6033
960,215,92,0.4279
1020,234,141,0.6026
1080,221,158,0.7149
1140,273,212,0.7766
1200,142,114,0.8028
1260,184,129,0.7011
1320,194,136,0.7010
1380,246,163,0.6626
1440,258,219,0.8488
1500,220,182,0.8273
1560,286,211,0.7378
1620,376,357,0.9495
1680,186,160,0.8602
1740,232,228,0.9828
1800,106,97,0.9151
1860,290,247,0.8517
1920,192,181,0.9427
1980,391,371,0.9488
2040,226,220,0.9735
2100,293,250,0.8532
2160,240,214,0.8917
2220,311,285,0.9164
2280,166,161,0.9699
2340,342,314,0.9181
2400,204,173,0.8480
2460,185,174,0.9405
2520,301,300,0.9967
2580,276,260,0.9420
2640,281,273,0.9715
2700,243,243,1.0000
2760,334,320,0.9581
2820,344,315,0.9157
2880,254,254,1.0000
2940,234,224,0.9573
3000,338,316,0.9349
3060,270,250,0.9259
3120,322,322,1.0000
3180,239,233,0.9749
3240,307,307,1.0000
3300,202,202,1.0000
3360,332,332,1.0000
3420,409,409,1.0000
3480,313,313,1.0000
3540,506,506,1.0000
