time,total_forwards,experienced_forwards,fraction_experienced
0,3,0,0.0000
60,6,0,0.0000
120,29,0,0.0000
180,20,0,0.0000
240,99,0,0.0000
300,98,0,0.0000
360,135,0,0.0000
420,181,0,0.0000
480,322,19,0.0590
540,295,28,0.0949
600,255,50,0.1961
660,327,84,0.2569
720,358,182,0.5084
780,407,223,0.5479
840,540,233,0.4315
900,475,275,0.5789
960,309,189,0.6117
1020,506,376,0.7431
1080,670,587,0.8761
1140,577,497,0.8614
1200,473,441,0.9323
1260,430,354,0.8233
1320,371,308,0.8302
1380,313,203,0.6486
1440,466,361,0.7747
1500,445,415,0.9326
1560,312,260,0.8333
1620,339,313,0.9233
1680,478,449,0.9393
1740,371,351,0.9461
1800,436,370,0.8486
1860,432,386,0.8935
1920,287,281,0.9791
1980,515,495,0.9612
2040,440,419,0.9523
2100,218,218,1.0000
2160,324,303,0.9352
2220,651,640,0.9831
2280,523,514,0.9828
2340,319,319,1.0000
2400,563,509,0.9041
2460,545,530,0.9725
2520,541,540,0.9982
2580,459,454,0.9891
2640,524,524,1.0000
2700,604,604,1.0000
2760,822,818,0.9951
2820,260,260,1.0000
2880,292,291,0.9966
2940,427,424,0.9930
3000,439,431,0.9818
3060,640,640,1.0000
3120,284,284,1.0000
3180,516,516,1.0000
3240,656,639,0.9741
3300,456,455,0.9978
3360,637,620,0.9733
3420,490,479,0.9776
3480,670,651,0.9716
3540,779,779,1.0000
