time,total_forwards,experienced_forwards,fraction_experienced
0,0,0,0.0000
60,1,0,0.0000
120,9,0,0.0000
180,14,0,0.0000
240,25,0,0.0000
300,57,4,0.0702
360,62,0,0.0000
420,47,3,0.0638
480,81,4,0.0494
540,69,14,0.2029
600,24,1,0.0417
660,43,20,0.4651
720,69,19,0.2754
780,68,16,0.2353
840,86,60,0.6977
900,88,41,0.4659
960,135,60,0.4444
1020,67,16,0.2388
1080,213,126,0.5915
1140,14,5,0.3571
1200,92,63,0.6848
1260,125,90,0.7200
1320,144,99,0.6875
1380,88,69,0.7841
1440,47,32,0.6809
1500,175,160,0.9143
1560,105,105,1.0000
1620,120,120,1.0000
1680,87,79,0.9080
1740,71,71,1.0000
1800,152,123,0.8092
1860,116,112,0.9655
1920,98,98,1.0000
1980,114,105,0.9211
2040,53,53,1.0000
2100,50,50,1.0000
2160,170,170,1.0000
2220,33,33,1.0000
2280,99,99,1.0000
2340,171,166,0.9708
2400,85,70,0.8235
2460,102,102,1.0000
2520,258,258,1.0000
2580,70,70,1.0000
2640,43,38,0.8837
2700,52,19,0.3654
2760,112,112,1.0000
2820,123,123,1.0000
2880,109,109,1.0000
2940,119,113,0.9496
3000,61,61,1.0000
3060,143,143,1.0000
3120,131,131,1.0000
3180,49,49,1.0000
3240,80,80,1.0000
3300,162,162,1.0000
3360,105,105,1.0000
3420,54,54,1.0000
3480,70,70,1.0000
3540,79,79,1.0000
