time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.989316
240,0.989316
300,0.948153
360,0.928851
420,0.914774
480,0.893127
540,0.855888
600,0.827681
660,0.827681
720,0.781017
780,0.761352
840,0.744570
900,0.729726
960,0.697599
1020,0.686456
1080,0.675591
1140,0.656277
1200,0.638898
1260,0.624956
1320,0.597314
1380,0.594111
1440,0.584423
1500,0.586546
1560,0.584758
1620,0.582800
1680,0.581474
1740,0.583128
1800,0.576946
1860,0.563792
1920,0.552158
1980,0.553435
2040,0.544784
2100,0.542837
2160,0.539103
2220,0.538297
2280,0.541006
2340,0.541128
2400,0.535935
2460,0.530257
2520,0.530827
2580,0.526674
2640,0.526069
2700,0.524304
2760,0.525791
2820,0.526240
2880,0.525782
2940,0.513301
3000,0.511066
3060,0.508590
3120,0.508781
3180,0.508453
3240,0.505420
3300,0.507505
3360,0.506647
3420,0.504596
3480,0.507855
3540,0.506089
