time,total_forwards,experienced_forwards,fraction_experienced
0,0,0,0.0000
60,15,0,0.0000
120,34,0,0.0000
180,43,0,0.0000
240,57,10,0.1754
300,53,12,0.2264
360,78,6,0.0769
420,178,5,0.0281
480,193,8,0.0415
540,223,40,0.1794
600,334,93,0.2784
660,305,50,0.1639
720,297,36,0.1212
780,223,74,0.3318
840,237,94,0.3966
900,448,246,0.5491
960,399,247,0.6190
1020,335,217,0.6478
1080,369,154,0.4173
1140,502,323,0.6434
1200,481,315,0.6549
1260,347,242,0.6974
1320,410,226,0.5512
1380,316,237,0.7500
1440,637,520,0.8163
1500,360,320,0.8889
1560,459,363,0.7908
1620,565,492,0.8708
1680,647,594,0.9181
1740,548,454,0.8285
1800,556,546,0.9820
1860,573,563,0.9825
1920,394,385,0.9772
1980,564,545,0.9663
2040,581,541,0.9312
2100,867,839,0.9677
2160,479,459,0.9582
2220,592,592,1.0000
2280,555,492,0.8865
2340,418,410,0.9809
2400,631,625,0.9905
2460,434,420,0.9677
2520,888,868,0.9775
2580,603,603,1.0000
2640,483,455,0.9420
2700,279,255,0.9140
2760,330,326,0.9879
2820,467,462,0.9893
2880,441,424,0.9615
2940,271,268,0.9889
3000,535,535,1.0000
3060,520,520,1.0000
3120,616,609,0.9886
3180,552,552,1.0000
3240,350,350,1.0000
3300,646,646,1.0000
3360,542,542,1.0000
3420,479,475,0.9916
3480,528,528,1.0000
3540,764,764,1.0000
