time,total_forwards,experienced_forwards,fraction_experienced
0,2,0,0.0000
60,9,0,0.0000
120,8,0,0.0000
180,39,0,0.0000
240,81,0,0.0000
300,134,0,0.0000
360,135,0,0.0000
420,163,0,0.0000
480,149,0,0.0000
540,358,65,0.1816
600,219,58,0.2648
660,305,70,0.2295
720,291,116,0.3986
780,339,112,0.3304
840,229,64,0.2795
900,354,190,0.5367
960,213,139,0.6526
1020,348,241,0.6925
1080,247,186,0.7530
1140,172,100,0.5814
1200,221,171,0.7738
1260,468,419,0.8953
1320,253,205,0.8103
1380,352,314,0.8920
1440,450,441,0.9800
1500,389,359,0.9229
1560,209,205,0.9809
1620,204,184,0.9020
1680,272,271,0.9963
1740,166,136,0.8193
1800,353,334,0.9462
1860,350,342,0.9771
1920,234,234,1.0000
1980,258,256,0.9922
2040,485,485,1.0000
2100,428,417,0.9743
2160,166,162,0.9759
2220,356,355,0.9972
2280,131,126,0.9618
2340,487,444,0.9117
2400,256,251,0.9805
2460,315,305,0.9683
2520,231,231,1.0000
2580,314,314,1.0000
2640,572,572,1.0000
2700,580,577,0.9948
2760,488,486,0.9959
2820,222,216,0.9730
2880,573,573,1.0000
2940,318,318,1.0000
3000,185,180,0.9730
3060,226,226,1.0000
3120,300,300,1.0000
3180,467,467,1.0000
3240,412,412,1.0000
3300,476,474,0.9958
3360,371,359,0.9677
3420,448,441,0.9844
3480,302,302,1.0000
3540,427,427,1.0000
