time,total_forwards,experienced_forwards,fraction_experienced
0,0,0,0.0000
60,6,0,0.0000
120,25,0,0.0000
180,34,0,0.0000
240,61,0,0.0000
300,84,0,0.0000
360,166,1,0.0060
420,136,4,0.0294
480,216,73,0.3380
540,147,48,0.3265
600,230,39,0.1696
660,198,111,0.5606
720,177,78,0.4407
780,320,176,0.5500
840,365,155,0.4247
900,478,338,0.7071
960,333,164,0.4925
1020,266,151,0.5677
1080,335,271,0.8090
1140,332,268,0.8072
1200,261,227,0.8697
1260,297,254,0.8552
1320,335,259,0.7731
1380,290,244,0.8414
1440,276,216,0.7826
1500,225,187,0.8311
1560,293,217,0.7406
1620,397,358,0.9018
1680,302,235,0.7781
1740,475,472,0.9937
1800,158,151,0.9557
1860,261,237,0.9080
1920,292,244,0.8356
1980,424,394,0.9292
2040,369,350,0.9485
2100,469,460,0.9808
2160,323,270,0.8359
2220,505,472,0.9347
2280,228,228,1.0000
2340,422,422,1.0000
2400,352,338,0.9602
2460,288,286,0.9931
2520,521,492,0.9443
2580,449,445,0.9911
2640,361,359,0.9945
2700,267,255,0.9551
2760,510,500,0.9804
2820,631,604,0.9572
2880,301,293,0.9734
2940,584,572,0.9795
3000,438,436,0.9954
3060,282,278,0.9858
3120,390,368,0.9436
3180,389,389,1.0000
3240,550,545,0.9909
3300,318,318,1.0000
3360,450,450,1.0000
3420,430,430,1.0000
3480,364,364,1.0000
3540,555,555,1.0000
