node_id,work,score,connectivity,forwards,delivery_contributions
p0,1.068524,0.747967,0.0000,34,3
p1,1.820864,1.274605,0.0000,87,5
p2,1.032963,0.723074,0.0000,41,4
p3,3.722306,2.605614,0.0000,158,10
p4,2.619276,1.833493,0.0000,50,5
p5,1.628048,1.139634,0.0000,63,3
p6,1.229691,0.860784,0.0000,77,2
p7,4.845568,3.391897,0.0000,149,10
p8,10.089781,7.062847,0.0000,164,16
p9,0.469313,0.328519,0.0000,11,3
p10,2.161032,1.512723,0.0000,48,9
p11,0.997005,0.697903,0.0000,2,2
p12,0.000000,0.000000,0.0000,0,0
p13,5.780769,4.046538,0.0000,81,12
p14,2.324003,1.626802,0.0000,105,7
p15,2.364739,1.655317,0.0000,65,11
c16,4.867605,3.407323,0.0000,93,15
c17,4.896997,3.427898,0.0000,64,9
c18,7.009879,4.906915,0.0000,182,16
c19,5.622099,3.935469,0.0000,76,15
c20,8.406678,5.884675,0.0000,209,21
c21,2.901634,2.031144,0.0000,169,12
c22,4.895348,3.426744,0.0000,266,17
c23,7.826858,5.478801,0.0000,178,24
c24,5.825879,4.078115,0.0000,67,14
c25,5.984767,4.189337,0.0000,242,15
c26,3.891509,2.724056,0.0000,186,13
c27,13.546346,9.482442,0.0000,46,18
c28,8.378226,5.864759,0.0000,99,27
c29,12.782144,8.947501,0.0000,81,20
c30,9.184739,6.429317,0.0000,53,17
c31,3.736440,2.615508,0.0000,170,19
w32,0.367080,0.256956,0.0000,11,2
w33,0.685111,0.479578,0.0000,32,4
w34,0.435898,0.305128,0.0000,21,2
w35,4.086926,2.860848,0.0000,224,10
w36,1.272260,0.890582,0.0000,86,4
w37,1.412015,0.988411,0.0000,26,5
w38,1.400406,0.980284,0.0000,30,5
w39,1.306717,0.914702,0.0000,57,6
w40,4.507868,3.155507,0.0000,117,9
w41,2.491554,1.744088,0.0000,24,8
w42,0.682733,0.477913,0.0000,26,5
w43,1.786364,1.250455,0.0000,56,8
w44,1.033821,0.723675,0.0000,47,4
w45,3.517684,2.462379,0.0000,36,13
w46,1.664515,1.165161,0.0000,302,12
w47,4.910032,3.437022,0.0000,212,16
w48,1.181066,0.826746,0.0000,3,3
w49,0.049581,0.034707,0.0000,39,1
t50,16.376671,11.463670,0.0000,188,40
t51,9.622073,6.735451,0.0000,137,22
t52,15.312265,10.718585,0.0000,112,23
t53,8.842840,6.189988,0.0000,446,25
t54,3.337594,2.336316,0.0000,170,12
t55,12.215941,8.551159,0.0000,151,21
