latency,hops,proof_bytes
319.60,3,384
309.20,2,256
364.90,4,512
209.40,2,256
209.70,3,384
309.50,4,512
405.20,2,256
515.80,1,128
180.10,3,384
419.30,2,256
399.00,2,256
572.50,5,640
640.30,5,640
619.40,6,768
253.00,2,256
342.90,5,640
632.90,2,256
706.20,2,256
784.10,3,384
691.80,3,384
66.70,1,128
792.60,1,128
804.10,3,384
682.00,6,768
797.30,5,640
615.10,3,384
48.80,1,128
741.40,5,640
638.30,3,384
582.90,2,256
497.50,3,384
665.40,4,512
581.50,3,384
811.90,5,640
957.40,5,640
639.50,6,768
335.60,3,384
379.10,2,256
299.20,2,256
517.20,4,512
632.30,4,512
670.10,5,640
877.50,2,256
818.70,5,640
183.80,1,128
353.90,4,512
994.50,5,640
43.20,1,128
1037.00,3,384
338.80,3,384
256.60,1,128
98.00,2,256
414.40,2,256
1062.10,4,512
942.00,3,384
87.10,1,128
901.60,3,384
617.80,1,128
993.90,5,640
959.70,3,384
1124.60,2,256
795.10,3,384
358.70,2,256
600.60,2,256
985.20,2,256
667.00,2,256
994.60,4,512
478.70,3,384
686.80,6,768
612.00,4,512
257.10,1,128
957.20,4,512
1062.30,2,256
1108.00,2,256
1243.80,4,512
832.40,4,512
396.00,2,256
1112.70,4,512
860.20,1,128
1190.90,2,256
778.50,3,384
1391.60,5,640
588.80,1,128
1166.20,3,384
1497.10,5,640
1377.90,5,640
616.20,2,256
1275.60,4,512
1207.50,2,256
852.30,4,512
1080.70,3,384
834.90,5,640
1017.00,3,384
733.20,3,384
806.80,4,512
649.90,4,512
897.30,2,256
299.50,2,256
216.60,3,384
739.90,5,640
837.00,5,640
575.30,3,384
806.40,2,256
1603.60,4,512
1357.90,4,512
1224.00,8,1024
1362.10,1,128
361.40,1,128
950.60,5,640
1136.70,4,512
1485.80,2,256
289.80,2,256
1015.90,2,256
706.90,1,128
432.00,2,256
802.30,1,128
1167.10,5,640
1442.20,1,128
1297.30,5,640
1334.40,3,384
1121.90,2,256
1417.10,4,512
787.20,2,256
1917.30,2,256
604.10,3,384
159.60,1,128
1029.70,2,256
1405.50,6,768
1451.80,4,512
760.40,2,256
345.60,2,256
775.80,3,384
1142.30,2,256
1515.90,3,384
1858.00,6,768
1081.10,3,384
1609.20,2,256
919.00,4,512
163.70,2,256
1638.00,2,256
917.20,4,512
478.80,3,384
724.60,1,128
678.20,3,384
1756.30,3,384
355.50,1,128
1545.60,4,512
925.30,3,384
1152.60,4,512
1027.30,3,384
1613.60,2,256
1021.90,3,384
1524.30,4,512
1733.40,5,640
1184.90,3,384
543.40,3,384
1898.70,5,640
1024.60,2,256
1496.30,2,256
1930.20,4,512
449.70,2,256
2217.60,4,512
1734.60,2,256
419.00,1,128
1321.30,4,512
1593.50,4,512
1214.20,3,384
1694.10,3,384
1667.00,5,640
1557.90,3,384
222.00,2,256
747.10,3,384
1680.20,3,384
28.30,1,128
2357.40,3,384
2009.70,3,384
372.80,2,256
56.10,1,128
2395.70,2,256
51.10,2,256
1522.80,2,256
715.50,2,256
852.60,3,384
155.90,1,128
675.20,2,256
981.60,2,256
1272.60,2,256
1271.60,3,384
1947.30,4,512
1757.20,1,128
813.00,2,256
909.10,5,640
1974.80,6,768
287.20,3,384
1254.30,3,384
399.70,3,384
369.40,2,256
1463.90,3,384
2303.60,3,384
1146.10,2,256
1993.90,7,896
2678.00,4,512
1505.10,3,384
2166.30,1,128
765.30,3,384
1049.80,2,256
1774.50,3,384
979.80,5,640
889.70,2,256
1617.00,3,384
1933.10,5,640
1399.20,3,384
1784.80,4,512
1670.30,3,384
1516.70,3,384
1055.20,2,256
2526.60,6,768
1517.70,5,640
1490.80,3,384
888.90,3,384
363.00,2,256
1486.10,4,512
2374.70,1,128
746.80,2,256
1667.60,2,256
1770.90,4,512
931.00,2,256
1867.30,6,768
1364.60,4,512
906.50,1,128
1377.70,3,384
302.00,2,256
378.10,2,256
1532.10,1,128
1742.00,2,256
313.70,2,256
1049.60,4,512
1280.30,4,512
878.00,2,256
1413.10,4,512
1255.90,4,512
1598.70,5,640
860.20,1,128
1637.70,4,512
1676.80,4,512
1250.90,2,256
1655.00,5,640
1580.10,4,512
1730.10,4,512
1875.90,1,128
1808.00,3,384
2115.20,6,768
1526.30,3,384
1650.50,4,512
1104.90,4,512
1166.00,2,256
942.90,2,256
1447.20,3,384
915.00,2,256
1615.10,4,512
1255.20,1,128
839.50,4,512
1021.20,2,256
958.80,2,256
2743.00,4,512
2054.10,1,128
2351.20,3,384
1093.30,3,384
329.90,2,256
471.00,2,256
1586.20,4,512
766.20,1,128
2679.30,3,384
1170.50,2,256
859.60,1,128
512.10,2,256
1597.90,3,384
3129.90,3,384
509.90,1,128
1301.00,2,256
2548.20,4,512
601.60,1,128
2887.70,3,384
1271.80,4,512
1269.20,6,768
1450.20,2,256
2046.80,3,384
986.50,2,256
2484.80,4,512
2855.60,3,384
2206.90,5,640
