time,total_forwards,experienced_forwards,fraction_experienced
0,7,0,0.0000
60,15,0,0.0000
120,14,0,0.0000
180,27,0,0.0000
240,52,0,0.0000
300,80,0,0.0000
360,87,0,0.0000
420,82,0,0.0000
480,126,0,0.0000
540,124,0,0.0000
600,208,5,0.0240
660,159,6,0.0377
720,206,35,0.1699
780,139,55,0.3957
840,173,40,0.2312
900,237,132,0.5570
960,161,37,0.2298
1020,116,31,0.2672
1080,165,76,0.4606
1140,250,109,0.4360
1200,229,148,0.6463
1260,238,182,0.7647
1320,125,82,0.6560
1380,230,182,0.7913
1440,300,261,0.8700
1500,264,255,0.9659
1560,226,189,0.8363
1620,342,277,0.8099
1680,349,308,0.8825
1740,241,229,0.9502
1800,312,275,0.8814
1860,196,187,0.9541
1920,271,229,0.8450
1980,177,175,0.9887
2040,161,130,0.8075
2100,367,327,0.8910
2160,277,261,0.9422
2220,340,338,0.9941
2280,406,394,0.9704
2340,288,280,0.9722
2400,171,170,0.9942
2460,373,360,0.9651
2520,349,347,0.9943
2580,442,440,0.9955
2640,387,385,0.9948
2700,429,426,0.9930
2760,497,497,1.0000
2820,323,321,0.9938
2880,248,247,0.9960
2940,179,171,0.9553
3000,448,427,0.9531
3060,129,129,1.0000
3120,255,254,0.9961
3180,273,264,0.9670
3240,130,130,1.0000
3300,555,553,0.9964
3360,413,409,0.9903
3420,487,487,1.0000
3480,338,336,0.9941
3540,329,326,0.9909
