time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.990566
360,0.965170
420,0.950156
480,0.924038
540,0.908955
600,0.780682
660,0.778092
720,0.732249
780,0.721503
840,0.693316
900,0.672943
960,0.650501
1020,0.640692
1080,0.604228
1140,0.592885
1200,0.592885
1260,0.576309
1320,0.552670
1380,0.547349
1440,0.553274
1500,0.545479
1560,0.518683
1620,0.518083
1680,0.523264
1740,0.525134
1800,0.526837
1860,0.525046
1920,0.517739
1980,0.503898
2040,0.506628
2100,0.507557
2160,0.502823
2220,0.511266
2280,0.508899
2340,0.510259
2400,0.507255
2460,0.480972
2520,0.477797
2580,0.477119
2640,0.477906
2700,0.475275
2760,0.474191
2820,0.483690
2880,0.484730
2940,0.479558
3000,0.486478
3060,0.485519
3120,0.487057
3180,0.486698
3240,0.487188
3300,0.488664
3360,0.490139
3420,0.491917
3480,0.493158
3540,0.491549
