time,total_forwards,experienced_forwards,fraction_experienced
0,0,0,0.0000
60,6,0,0.0000
120,25,0,0.0000
180,34,0,0.0000
240,61,0,0.0000
300,93,9,0.0968
360,178,29,0.1629
420,198,29,0.1465
480,255,59,0.2314
540,209,76,0.3636
600,239,36,0.1506
660,270,161,0.5963
720,225,122,0.5422
780,370,171,0.4622
840,492,262,0.5325
900,538,379,0.7045
960,336,211,0.6280
1020,285,171,0.6000
1080,414,361,0.8720
1140,375,336,0.8960
1200,300,288,0.9600
1260,571,528,0.9247
1320,429,372,0.8671
1380,419,374,0.8926
1440,283,262,0.9258
1500,456,415,0.9101
1560,419,343,0.8186
1620,595,566,0.9513
1680,260,230,0.8846
1740,556,550,0.9892
1800,196,189,0.9643
1860,446,364,0.8161
1920,397,384,0.9673
1980,594,587,0.9882
2040,472,462,0.9788
2100,605,592,0.9785
2160,449,449,1.0000
2220,561,517,0.9216
2280,263,239,0.9087
2340,444,425,0.9572
2400,401,387,0.9651
2460,448,446,0.9955
2520,854,853,0.9988
2580,655,655,1.0000
2640,473,473,1.0000
2700,506,506,1.0000
2760,637,612,0.9608
2820,778,706,0.9075
2880,298,291,0.9765
2940,666,661,0.9925
3000,611,608,0.9951
3060,445,445,1.0000
3120,485,470,0.9691
3180,563,563,1.0000
3240,540,533,0.9870
3300,468,467,0.9979
3360,562,561,0.9982
3420,708,708,1.0000
3480,453,453,1.0000
3540,721,721,1.0000
