time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.971485
300,0.971485
360,0.964543
420,0.891856
480,0.891856
540,0.889353
600,0.887223
660,0.811919
720,0.803246
780,0.759419
840,0.756973
900,0.733783
960,0.702847
1020,0.693014
1080,0.659257
1140,0.651696
1200,0.643962
1260,0.593382
1320,0.572173
1380,0.568147
1440,0.570962
1500,0.554077
1560,0.561003
1620,0.552487
1680,0.550016
1740,0.544113
1800,0.544212
1860,0.542001
1920,0.541192
1980,0.543606
2040,0.521581
2100,0.512405
2160,0.502524
2220,0.502234
2280,0.505663
2340,0.504426
2400,0.504560
2460,0.503635
2520,0.499318
2580,0.497754
2640,0.497809
2700,0.499065
2760,0.489528
2820,0.482231
2880,0.482671
2940,0.475404
3000,0.470071
3060,0.467719
3120,0.466948
3180,0.466364
3240,0.465832
3300,0.466405
3360,0.470451
3420,0.468492
3480,0.470211
3540,0.463619
