time,total_forwards,experienced_forwards,fraction_experienced
0,2,0,0.0000
60,9,0,0.0000
120,8,0,0.0000
180,39,0,0.0000
240,84,3,0.0357
300,140,0,0.0000
360,135,0,0.0000
420,173,7,0.0405
480,162,5,0.0309
540,427,136,0.3185
600,263,104,0.3954
660,407,189,0.4644
720,339,164,0.4838
780,553,262,0.4738
840,280,84,0.3000
900,489,317,0.6483
960,314,187,0.5955
1020,463,326,0.7041
1080,367,266,0.7248
1140,203,148,0.7291
1200,307,242,0.7883
1260,482,422,0.8755
1320,366,314,0.8579
1380,496,464,0.9355
1440,489,475,0.9714
1500,546,525,0.9615
1560,274,266,0.9708
1620,292,271,0.9281
1680,338,338,1.0000
1740,224,199,0.8884
1800,476,461,0.9685
1860,588,560,0.9524
1920,429,423,0.9860
1980,339,337,0.9941
2040,592,586,0.9899
2100,518,480,0.9266
2160,233,228,0.9785
2220,418,409,0.9785
2280,210,203,0.9667
2340,574,560,0.9756
2400,324,305,0.9414
2460,423,422,0.9976
2520,289,253,0.8754
2580,498,493,0.9900
2640,537,535,0.9963
2700,614,614,1.0000
2760,787,786,0.9987
2820,378,376,0.9947
2880,703,703,1.0000
2940,478,478,1.0000
3000,472,472,1.0000
3060,388,388,1.0000
3120,471,471,1.0000
3180,658,658,1.0000
3240,520,520,1.0000
3300,731,730,0.9986
3360,506,506,1.0000
3420,601,599,0.9967
3480,502,500,0.9960
3540,585,585,1.0000
