time,total_forwards,experienced_forwards,fraction_experienced
0,4,0,0.0000
60,11,0,0.0000
120,26,0,0.0000
180,14,0,0.0000
240,39,1,0.0256
300,38,3,0.0789
360,41,9,0.2195
420,62,9,0.1452
480,89,0,0.0000
540,57,13,0.2281
600,33,17,0.5152
660,56,2,0.0357
720,62,19,0.3065
780,86,39,0.4535
840,81,18,0.2222
900,89,4,0.0449
960,54,23,0.4259
1020,157,110,0.7006
1080,117,35,0.2991
1140,185,49,0.2649
1200,146,60,0.4110
1260,230,159,0.6913
1320,112,109,0.9732
1380,87,79,0.9080
1440,89,76,0.8539
1500,71,71,1.0000
1560,52,52,1.0000
1620,176,171,0.9716
1680,131,130,0.9924
1740,143,143,1.0000
1800,128,125,0.9766
1860,122,121,0.9918
1920,46,46,1.0000
1980,153,147,0.9608
2040,103,103,1.0000
2100,45,45,1.0000
2160,143,143,1.0000
2220,146,143,0.9795
2280,212,188,0.8868
2340,134,133,0.9925
2400,173,173,1.0000
2460,156,155,0.9936
2520,104,104,1.0000
2580,63,59,0.9365
2640,152,142,0.9342
2700,81,81,1.0000
2760,61,61,1.0000
2820,30,30,1.0000
2880,252,252,1.0000
2940,128,128,1.0000
3000,34,34,1.0000
3060,49,37,0.7551
3120,24,24,1.0000
3180,163,163,1.0000
3240,98,98,1.0000
3300,128,128,1.0000
3360,88,88,1.0000
3420,94,94,1.0000
3480,108,108,1.0000
3540,113,113,1.0000
