node_id,work,score,connectivity,forwards,delivery_contributions
p0,0.951161,0.665813,0.0000,174,47
p1,0.689629,0.482740,0.0000,161,52
p2,0.933409,0.653386,0.0000,10,44
p3,0.793528,0.555469,0.0000,127,51
p4,0.504323,0.353026,0.0000,63,55
p5,0.461514,0.323060,0.0000,73,38
p6,0.240311,0.168218,0.0000,16,52
p7,0.733633,0.513543,0.0000,18,55
p8,0.424433,0.297103,0.0000,240,39
p9,1.675879,1.173115,0.0000,135,56
p10,2.603820,1.822674,0.0000,459,50
p11,3.958853,2.771197,0.0000,172,55
p12,1.341785,0.939249,0.0000,356,66
p13,1.545799,1.082059,0.0000,218,56
p14,1.334115,0.933880,0.0000,83,45
p15,2.475929,1.733150,0.0000,345,67
p16,3.627467,2.539227,0.0000,221,64
p17,1.569463,1.098624,0.0000,323,52
p18,2.234252,1.563977,0.0000,123,54
p19,1.296670,0.907669,0.0000,119,45
p20,0.753558,0.527491,0.0000,88,43
p21,0.616361,0.431453,0.0000,44,48
p22,0.432655,0.302859,0.0000,20,54
p23,8.120138,5.684097,0.0000,338,80
p24,1.939532,1.357672,0.0000,82,53
p25,1.899673,1.329771,0.0000,186,50
p26,1.146365,0.802455,0.0000,29,68
p27,1.772657,1.240860,0.0000,501,63
p28,1.729517,1.210662,0.0000,111,62
p29,1.695947,1.187163,0.0000,197,52
p30,5.748729,4.024110,0.0000,376,62
p31,0.819274,0.573492,0.0000,45,57
c32,5.901443,4.131010,0.0000,236,59
c33,4.315175,3.020622,0.0000,221,58
c34,3.708208,2.595746,0.0000,301,64
c35,1.459731,1.021812,0.0000,419,53
c36,4.410105,3.087073,0.0000,178,52
c37,2.468064,1.727645,0.0000,229,59
c38,1.983336,1.388335,0.0000,287,51
c39,2.881066,2.016746,0.0000,118,60
c40,6.772803,4.740962,0.0000,165,62
c41,4.418492,3.092944,0.0000,410,45
c42,4.460845,3.122591,0.0000,273,48
c43,5.864044,4.104831,0.0000,124,69
c44,6.412072,4.488451,0.0000,447,65
c45,11.101119,7.920783,0.5000,376,79
c46,3.302256,2.311579,0.0000,173,52
c47,5.877000,4.113900,0.0000,251,72
c48,3.925449,2.747814,0.0000,198,64
c49,3.192480,2.384736,0.5000,145,59
c50,8.398604,5.879023,0.0000,343,55
c51,10.239952,7.167966,0.0000,329,67
c52,6.624639,4.637247,0.0000,217,60
c53,2.508556,1.755989,0.0000,255,57
c54,5.038178,3.526725,0.0000,302,54
c55,9.470985,6.629689,0.0000,129,68
c56,1.004529,0.853170,0.5000,471,47
c57,0.627058,0.438940,0.0000,244,53
c58,8.962965,6.274075,0.0000,286,62
c59,6.034610,4.224227,0.0000,153,56
c60,1.141831,0.799282,0.0000,407,53
c61,4.467238,3.127067,0.0000,229,67
c62,2.977629,2.234340,0.5000,254,56
c63,5.976044,4.183231,0.0000,133,60
c64,5.219373,3.653561,0.0000,205,57
c65,6.648060,4.653642,0.0000,230,69
c66,2.847955,1.993569,0.0000,139,60
c67,6.125015,4.287510,0.0000,88,68
c68,0.820650,0.574455,0.0000,211,69
c69,6.549443,4.734610,0.5000,160,58
c70,6.366643,4.456650,0.0000,280,65
c71,2.626475,1.838532,0.0000,470,65
w72,9.078314,6.354820,0.0000,411,78
w73,2.486323,1.740426,0.0000,136,53
w74,2.074128,1.451890,0.0000,241,43
w75,5.151800,3.606260,0.0000,231,66
w76,2.325293,1.627705,0.0000,202,49
w77,0.850920,0.595644,0.0000,35,50
w78,3.140851,2.198596,0.0000,183,73
w79,0.709494,0.646646,0.5000,122,58
w80,4.286051,3.000236,0.0000,140,37
w81,3.445023,2.411516,0.0000,173,50
w82,0.273635,0.191545,0.0000,51,45
w83,1.540881,1.078617,0.0000,233,58
w84,0.743159,0.670211,0.5000,37,58
w85,1.551891,1.086323,0.0000,38,57
w86,0.774001,0.541801,0.0000,110,46
w87,6.859543,4.801680,0.0000,281,68
w88,3.310959,2.317671,0.0000,108,72
w89,1.114784,0.780349,0.0000,45,62
w90,0.738231,0.516761,0.0000,307,56
w91,1.401259,0.980882,0.0000,178,62
w92,3.807124,2.664987,0.0000,157,44
w93,0.357618,0.250333,0.0000,37,44
w94,2.480612,1.736428,0.0000,135,65
w95,1.080071,0.756050,0.0000,335,43
w96,2.884166,2.018916,0.0000,287,55
w97,0.727045,0.508931,0.0000,124,46
w98,2.470614,2.029430,1.0000,195,51
w99,1.870124,1.459087,0.5000,48,56
w100,2.937640,2.056348,0.0000,144,49
w101,1.940511,1.358358,0.0000,46,52
w102,0.981383,0.686968,0.0000,84,53
w103,0.276212,0.193349,0.0000,41,43
w104,3.200167,2.240117,0.0000,92,63
w105,0.448471,0.313930,0.0000,73,46
w106,1.630473,1.141331,0.0000,31,46
w107,3.609889,2.526922,0.0000,160,62
w108,1.065567,0.745897,0.0000,253,52
w109,5.118234,3.582764,0.0000,174,63
w110,1.241206,0.868844,0.0000,117,45
w111,1.347251,0.943075,0.0000,129,50
t112,11.735716,8.215002,0.0000,301,74
t113,18.815191,13.170633,0.0000,209,92
t114,10.658077,7.460654,0.0000,264,69
t115,9.970860,6.979602,0.0000,420,67
t116,6.973358,4.881351,0.0000,396,67
t117,15.398034,10.778624,0.0000,329,81
s118,7.998448,5.598914,0.0000,118,2133
s119,6.024301,4.217011,0.0000,191,194
s120,3.298421,2.308895,0.0000,202,319
s121,11.170168,7.819117,0.0000,95,527
s122,10.355532,7.248872,0.0000,179,3045
s123,2.106138,1.474297,0.0000,155,61
s124,1.201019,0.840713,0.0000,21,45
s125,0.174898,0.122428,0.0000,35,54
