time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.993590
300,0.980049
360,0.980049
420,0.960436
480,0.938362
540,0.903842
600,0.872494
660,0.852039
720,0.822337
780,0.791816
840,0.754861
900,0.724313
960,0.704716
1020,0.703296
1080,0.691401
1140,0.688487
1200,0.686924
1260,0.666471
1320,0.635304
1380,0.611411
1440,0.605773
1500,0.603354
1560,0.582821
1620,0.580113
1680,0.566993
1740,0.553075
1800,0.546338
1860,0.534059
1920,0.528494
1980,0.526471
2040,0.527349
2100,0.524177
2160,0.526013
2220,0.527889
2280,0.525577
2340,0.520269
2400,0.524798
2460,0.527950
2520,0.528097
2580,0.532651
2640,0.535127
2700,0.535501
2760,0.535929
2820,0.537835
2880,0.531130
2940,0.527289
3000,0.523907
3060,0.519574
3120,0.516307
3180,0.511667
3240,0.512388
3300,0.508422
3360,0.508643
3420,0.507118
3480,0.506239
3540,0.504822
