time,total_forwards,experienced_forwards,fraction_experienced
0,0,0,0.0000
60,1,0,0.0000
120,6,0,0.0000
180,22,0,0.0000
240,30,0,0.0000
300,29,0,0.0000
360,87,0,0.0000
420,115,0,0.0000
480,9,3,0.3333
540,43,6,0.1395
600,69,13,0.1884
660,36,4,0.1111
720,8,6,0.7500
780,138,67,0.4855
840,37,4,0.1081
900,83,35,0.4217
960,45,21,0.4667
1020,87,49,0.5632
1080,138,71,0.5145
1140,83,35,0.4217
1200,98,78,0.7959
1260,20,1,0.0500
1320,77,23,0.2987
1380,39,37,0.9487
1440,116,61,0.5259
1500,105,69,0.6571
1560,91,32,0.3516
1620,186,155,0.8333
1680,76,51,0.6711
1740,104,84,0.8077
1800,160,129,0.8063
1860,53,53,1.0000
1920,149,121,0.8121
1980,171,138,0.8070
2040,184,166,0.9022
2100,244,224,0.9180
2160,44,35,0.7955
2220,153,152,0.9935
2280,187,187,1.0000
2340,159,159,1.0000
2400,111,110,0.9910
2460,19,13,0.6842
2520,25,25,1.0000
2580,215,205,0.9535
2640,107,107,1.0000
2700,170,170,1.0000
2760,177,177,1.0000
2820,175,171,0.9771
2880,69,69,1.0000
2940,67,67,1.0000
3000,52,52,1.0000
3060,103,103,1.0000
3120,102,72,0.7059
3180,95,95,1.0000
3240,328,324,0.9878
3300,183,183,1.0000
3360,258,258,1.0000
3420,83,82,0.9880
3480,85,85,1.0000
3540,94,94,1.0000
