time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.984277
360,0.968619
420,0.947694
480,0.934085
540,0.902082
600,0.896277
660,0.872778
720,0.858927
780,0.837057
840,0.811604
900,0.759123
960,0.752315
1020,0.754071
1080,0.758279
1140,0.731850
1200,0.729769
1260,0.729473
1320,0.704848
1380,0.681845
1440,0.671896
1500,0.665785
1560,0.644744
1620,0.646507
1680,0.630708
1740,0.612790
1800,0.614227
1860,0.605643
1920,0.601808
1980,0.603298
2040,0.595898
2100,0.595025
2160,0.595180
2220,0.579129
2280,0.578032
2340,0.578366
2400,0.562986
2460,0.560367
2520,0.557850
2580,0.545964
2640,0.543268
2700,0.541716
2760,0.542247
2820,0.542850
2880,0.540406
2940,0.532456
3000,0.518315
3060,0.513665
3120,0.511090
3180,0.511074
3240,0.509429
3300,0.509159
3360,0.508593
3420,0.507557
3480,0.504441
3540,0.500383
