node_id,work,score,connectivity,forwards,delivery_contributions
p0,2.460856,1.722599,0.0000,35,8
p1,4.762754,3.633928,1.0000,413,15
p2,2.369900,1.658930,0.0000,124,9
p3,0.665807,0.616065,0.5000,286,6
p4,0.255421,0.178794,0.0000,163,2
p5,3.633404,2.543383,0.0000,254,11
p6,2.748489,1.923942,0.0000,270,6
p7,0.347001,0.242901,0.0000,35,4
p8,0.394852,0.276397,0.0000,189,4
p9,0.435620,0.304934,0.0000,11,2
p10,3.825676,2.677973,0.0000,391,13
p11,1.214869,0.850408,0.0000,197,3
p12,1.114049,0.779834,0.0000,114,5
p13,0.989407,0.692585,0.0000,32,2
p14,2.589648,1.812754,0.0000,225,16
p15,3.592905,2.515034,0.0000,92,7
p16,2.660194,1.862135,0.0000,329,10
p17,0.787315,0.701121,0.5000,319,7
p18,1.686901,1.330831,0.5000,302,5
p19,2.429552,1.700686,0.0000,393,9
p20,4.229704,3.260792,1.0000,333,12
p21,2.480411,1.736287,0.0000,262,10
p22,0.448866,0.314206,0.0000,129,3
p23,0.786241,0.550369,0.0000,189,3
p24,1.296366,1.057456,0.5000,227,7
p25,0.362410,0.253687,0.0000,137,3
p26,3.913779,2.739645,0.0000,276,12
p27,0.524558,0.367191,0.0000,66,4
p28,0.593316,0.415322,0.0000,41,5
p29,1.342037,0.939426,0.0000,196,5
p30,0.786126,0.550288,0.0000,82,3
p31,0.627579,0.439305,0.0000,25,3
p32,3.147235,2.203064,0.0000,205,11
c33,5.875909,4.113136,0.0000,628,25
c34,3.088983,2.162288,0.0000,232,14
c35,4.581320,3.206924,0.0000,196,11
c36,6.250282,4.375198,0.0000,364,17
c37,3.347476,2.343233,0.0000,242,12
c38,5.259058,3.681341,0.0000,254,18
c39,6.469934,4.528954,0.0000,292,17
c40,2.216643,1.551650,0.0000,445,9
c41,3.720296,2.604207,0.0000,379,16
c42,9.616835,6.731785,0.0000,407,31
c43,4.528503,3.169952,0.0000,453,17
c44,4.438748,3.107124,0.0000,246,8
c45,9.640572,6.748401,0.0000,211,25
c46,2.729838,1.910886,0.0000,153,12
c47,4.190137,2.933096,0.0000,420,14
c48,5.087232,3.561063,0.0000,339,16
c49,4.264958,2.985471,0.0000,214,11
c50,1.559686,1.091780,0.0000,219,2
c51,3.854567,2.848197,0.5000,335,12
c52,2.447494,1.713246,0.0000,317,7
c53,3.793986,2.655790,0.0000,328,20
c54,3.595796,2.517057,0.0000,533,13
c55,14.679653,10.275757,0.0000,292,39
c56,3.061784,2.143249,0.0000,401,14
c57,10.079715,7.055801,0.0000,423,22
c58,1.705885,1.194119,0.0000,254,10
c59,3.276491,2.293544,0.0000,324,12
c60,12.980160,9.086112,0.0000,231,30
c61,4.896352,3.577446,0.5000,186,9
c62,6.027752,4.219426,0.0000,116,11
c63,7.258675,5.081072,0.0000,252,17
c64,5.367586,3.757310,0.0000,215,13
c65,7.826433,5.478503,0.0000,454,27
w66,2.714459,1.900122,0.0000,101,11
w67,1.668958,1.168271,0.0000,100,4
w68,1.393055,0.975139,0.0000,155,7
w69,1.888688,1.322082,0.0000,208,8
w70,1.018920,0.713244,0.0000,210,9
w71,0.428664,0.300065,0.0000,152,4
w72,2.784668,2.099268,0.5000,214,11
w73,4.648155,3.253708,0.0000,251,14
w74,7.402014,5.181409,0.0000,302,17
w75,1.760614,1.232430,0.0000,127,4
w76,2.557528,1.790270,0.0000,125,13
w77,1.828496,1.279947,0.0000,37,6
w78,4.445137,3.111596,0.0000,123,9
w79,1.990830,1.393581,0.0000,121,8
w80,1.541562,1.079093,0.0000,123,5
w81,1.459085,1.021360,0.0000,88,6
w82,0.477916,0.634541,1.0000,97,2
w83,6.076294,4.403406,0.5000,231,14
w84,3.582927,2.508049,0.0000,70,6
w85,0.000000,0.000000,0.0000,189,0
w86,0.412157,0.288510,0.0000,43,3
w87,3.162300,2.213610,0.0000,309,7
w88,2.514684,1.760279,0.0000,194,9
w89,0.000000,0.000000,0.0000,34,0
w90,0.137432,0.096202,0.0000,74,3
w91,1.264818,0.885372,0.0000,78,5
w92,1.156192,0.809334,0.0000,73,8
w93,5.099636,3.569745,0.0000,276,7
w94,0.809262,0.866484,1.0000,42,6
w95,2.604604,1.823223,0.0000,78,8
w96,3.356274,2.349392,0.0000,412,12
w97,2.241629,1.869140,1.0000,54,8
w98,3.651205,2.555843,0.0000,412,16
w99,1.144002,0.800802,0.0000,278,8
t100,16.565275,11.745693,0.5000,468,42
t101,12.220708,8.704495,0.5000,379,37
t102,6.998803,4.899162,0.0000,391,17
t103,7.143100,5.000170,0.0000,396,18
t104,2.302342,1.611639,0.0000,554,12
t105,6.890000,4.823000,0.0000,324,14
