time,total_forwards,experienced_forwards,fraction_experienced
0,2,0,0.0000
60,19,0,0.0000
120,34,0,0.0000
180,65,0,0.0000
240,78,0,0.0000
300,122,2,0.0164
360,112,4,0.0357
420,137,8,0.0584
480,164,17,0.1037
540,141,26,0.1844
600,194,10,0.0515
660,231,69,0.2987
720,131,23,0.1756
780,153,39,0.2549
840,130,60,0.4615
900,147,56,0.3810
960,212,62,0.2925
1020,123,60,0.4878
1080,261,99,0.3793
1140,231,100,0.4329
1200,179,85,0.4749
1260,210,136,0.6476
1320,127,105,0.8268
1380,212,159,0.7500
1440,315,261,0.8286
1500,308,260,0.8442
1560,221,118,0.5339
1620,230,186,0.8087
1680,266,232,0.8722
1740,191,146,0.7644
1800,241,189,0.7842
1860,409,376,0.9193
1920,302,271,0.8974
1980,316,260,0.8228
2040,200,173,0.8650
2100,265,242,0.9132
2160,318,318,1.0000
2220,228,221,0.9693
2280,181,164,0.9061
2340,249,236,0.9478
2400,313,305,0.9744
2460,341,326,0.9560
2520,270,269,0.9963
2580,138,138,1.0000
2640,392,392,1.0000
2700,288,285,0.9896
2760,211,178,0.8436
2820,511,486,0.9511
2880,194,194,1.0000
2940,336,334,0.9940
3000,202,202,1.0000
3060,292,292,1.0000
3120,165,165,1.0000
3180,506,489,0.9664
3240,126,118,0.9365
3300,258,258,1.0000
3360,270,269,0.9963
3420,250,247,0.9880
3480,235,234,0.9957
3540,279,279,1.0000
