time,total_forwards,experienced_forwards,fraction_experienced
0,5,0,0.0000
60,14,0,0.0000
120,18,0,0.0000
180,30,0,0.0000
240,75,0,0.0000
300,109,0,0.0000
360,145,13,0.0897
420,99,18,0.1818
480,134,4,0.0299
540,117,25,0.2137
600,139,2,0.0144
660,163,21,0.1288
720,264,44,0.1667
780,218,80,0.3670
840,460,278,0.6043
900,263,209,0.7947
960,185,111,0.6000
1020,193,161,0.8342
1080,114,56,0.4912
1140,210,163,0.7762
1200,228,160,0.7018
1260,464,326,0.7026
1320,408,316,0.7745
1380,306,255,0.8333
1440,141,127,0.9007
1500,416,319,0.7668
1560,347,325,0.9366
1620,315,231,0.7333
1680,607,465,0.7661
1740,315,298,0.9460
1800,390,356,0.9128
1860,403,368,0.9132
1920,393,380,0.9669
1980,297,257,0.8653
2040,237,232,0.9789
2100,294,263,0.8946
2160,196,189,0.9643
2220,265,233,0.8792
2280,433,424,0.9792
2340,270,255,0.9444
2400,282,278,0.9858
2460,457,456,0.9978
2520,479,472,0.9854
2580,275,260,0.9455
2640,323,321,0.9938
2700,330,329,0.9970
2760,253,253,1.0000
2820,330,330,1.0000
2880,352,343,0.9744
2940,587,587,1.0000
3000,380,330,0.8684
3060,661,595,0.9002
3120,372,372,1.0000
3180,608,597,0.9819
3240,315,310,0.9841
3300,189,189,1.0000
3360,142,141,0.9930
3420,344,338,0.9826
3480,170,170,1.0000
3540,283,283,1.0000
