time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.986772
240,0.986772
300,0.986772
360,0.942088
420,0.942088
480,0.870305
540,0.870305
600,0.832670
660,0.803513
720,0.800300
780,0.765354
840,0.743319
900,0.727623
960,0.715741
1020,0.712580
1080,0.709588
1140,0.682617
1200,0.677975
1260,0.674753
1320,0.670884
1380,0.651808
1440,0.638654
1500,0.634352
1560,0.624631
1620,0.621232
1680,0.617145
1740,0.597165
1800,0.590481
1860,0.577282
1920,0.574216
1980,0.572117
2040,0.573322
2100,0.577350
2160,0.565552
2220,0.568019
2280,0.547988
2340,0.543863
2400,0.535363
2460,0.527726
2520,0.521272
2580,0.515314
2640,0.516477
2700,0.513953
2760,0.514003
2820,0.501647
2880,0.501227
2940,0.499467
3000,0.499478
3060,0.501371
3120,0.503200
3180,0.501132
3240,0.500859
3300,0.497470
3360,0.497914
3420,0.495595
3480,0.488584
3540,0.485576
