latency,hops,proof_bytes
166.50,1,128
245.60,1,128
273.60,3,384
250.00,4,512
342.50,3,384
172.30,4,512
433.70,2,256
362.00,1,128
225.90,2,256
216.50,2,256
450.70,2,256
751.70,3,384
704.40,4,512
662.10,4,512
438.60,1,128
551.70,3,384
953.00,3,384
967.10,3,384
947.20,4,512
218.20,1,128
844.20,5,640
628.80,4,512
766.00,2,256
250.50,1,128
986.50,3,384
417.60,3,384
646.90,2,256
1106.00,2,256
1002.30,4,512
921.40,4,512
977.60,3,384
1040.30,3,384
1305.00,4,512
1222.40,6,768
297.40,2,256
630.50,2,256
839.50,3,384
1410.90,3,384
1105.30,3,384
633.40,2,256
761.50,2,256
238.60,2,256
500.70,2,256
1510.00,3,384
1097.20,2,256
1070.10,3,384
1217.60,3,384
66.40,2,256
1281.90,3,384
1258.00,4,512
900.00,4,512
164.10,1,128
581.30,1,128
1616.10,1,128
1367.80,3,384
1218.20,4,512
1088.20,2,256
277.30,2,256
884.30,6,768
1677.90,5,640
1629.00,2,256
1303.30,3,384
1402.60,2,256
1694.00,5,640
1526.70,1,128
1049.60,4,512
343.60,2,256
142.40,1,128
1435.30,1,128
698.20,3,384
1896.10,3,384
1329.10,2,256
1221.70,1,128
964.70,5,640
1361.80,3,384
1199.80,4,512
254.10,1,128
1172.30,4,512
980.40,2,256
433.30,4,512
180.40,2,256
620.00,3,384
1080.90,2,256
2043.90,2,256
802.10,2,256
344.40,3,384
1475.50,2,256
1957.60,2,256
904.70,2,256
894.50,3,384
1658.60,2,256
915.70,3,384
1836.00,4,512
1346.10,5,640
38.20,2,256
1340.60,3,384
1653.80,1,128
1695.90,2,256
1930.10,2,256
706.20,2,256
2049.00,5,640
153.20,1,128
16.00,1,128
1392.20,5,640
721.10,2,256
1352.20,1,128
1253.50,2,256
1838.60,3,384
1514.10,3,384
1097.30,1,128
1548.40,3,384
1112.70,5,640
1236.80,2,256
1714.90,3,384
1159.70,1,128
1521.50,4,512
838.00,1,128
922.50,3,384
2080.20,2,256
1949.10,2,256
2129.60,3,384
705.50,1,128
720.10,5,640
1921.50,3,384
357.60,1,128
681.40,3,384
571.50,3,384
1031.20,1,128
2186.90,3,384
1008.30,3,384
2167.50,2,256
1259.60,5,640
1164.80,1,128
1335.90,4,512
1216.80,2,256
1666.40,3,384
516.10,2,256
456.50,2,256
404.50,2,256
2303.30,4,512
2369.40,3,384
104.90,2,256
2659.20,2,256
1518.30,3,384
1895.40,2,256
1036.50,2,256
1870.60,2,256
2210.70,3,384
1800.20,3,384
794.30,2,256
1049.30,2,256
738.40,1,128
1262.10,1,128
769.80,3,384
1173.00,2,256
1590.40,2,256
1755.50,2,256
2053.70,1,128
2291.80,2,256
2543.10,2,256
1444.90,5,640
1509.10,4,512
1695.20,2,256
1688.00,3,384
429.30,2,256
1715.40,4,512
2450.50,4,512
1875.20,3,384
1418.00,3,384
1919.10,1,128
1149.40,2,256
2310.70,2,256
887.20,2,256
2660.30,2,256
1649.20,6,768
2656.20,3,384
1664.30,4,512
631.40,1,128
1439.60,2,256
2615.70,2,256
1393.80,3,384
2125.90,2,256
883.50,2,256
2892.60,3,384
1476.40,5,640
1691.40,7,896
2149.50,3,384
2829.70,2,256
2274.40,2,256
766.60,1,128
2362.70,2,256
1965.80,2,256
2848.90,2,256
1649.50,4,512
1371.70,3,384
789.50,2,256
1610.20,3,384
544.60,3,384
88.80,1,128
696.50,2,256
846.40,1,128
1823.50,5,640
1729.70,3,384
2470.60,3,384
1943.70,2,256
2562.80,2,256
1447.40,1,128
1302.30,1,128
1484.40,2,256
1497.50,7,896
696.90,2,256
1897.40,3,384
3148.30,3,384
570.40,2,256
1769.50,3,384
2255.40,2,256
293.30,1,128
526.80,1,128
1269.90,2,256
124.10,1,128
2430.70,3,384
2023.90,4,512
612.20,3,384
179.30,3,384
1981.00,2,256
3166.10,2,256
1751.20,3,384
3227.30,4,512
288.40,2,256
2985.00,3,384
2720.10,2,256
2779.70,3,384
1273.20,2,256
2038.30,2,256
2128.40,1,128
2065.30,3,384
610.40,1,128
2962.00,1,128
1600.90,4,512
2607.00,8,1024
