time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.973208
300,0.942473
360,0.889074
420,0.889074
480,0.865050
540,0.853608
600,0.799797
660,0.792528
720,0.773486
780,0.765149
840,0.758494
900,0.740952
960,0.714419
1020,0.657726
1080,0.659152
1140,0.628288
1200,0.630733
1260,0.627385
1320,0.623550
1380,0.607325
1440,0.601226
1500,0.587391
1560,0.580131
1620,0.571764
1680,0.553224
1740,0.557322
1800,0.555822
1860,0.547951
1920,0.521173
1980,0.511337
2040,0.507946
2100,0.503885
2160,0.506162
2220,0.500487
2280,0.500398
2340,0.487775
2400,0.485566
2460,0.479080
2520,0.474080
2580,0.467665
2640,0.460714
2700,0.459195
2760,0.458767
2820,0.458656
2880,0.447015
2940,0.450283
3000,0.442781
3060,0.440450
3120,0.436220
3180,0.429732
3240,0.429901
3300,0.428769
3360,0.429925
3420,0.429360
3480,0.429472
3540,0.431829
