node_id,work,score,connectivity,forwards,delivery_contributions
p0,4.493382,3.145368,0.0000,140,14
p1,1.717337,1.202136,0.0000,66,4
p2,0.831521,0.582064,0.0000,48,4
p3,2.827316,1.979121,0.0000,153,10
p4,3.296518,2.307563,0.0000,72,8
p5,3.160424,2.212297,0.0000,90,12
p6,1.623334,1.136334,0.0000,21,4
p7,1.279778,0.895844,0.0000,25,7
p8,2.681502,1.877051,0.0000,58,7
p9,0.745212,0.521648,0.0000,81,2
p10,7.401681,5.181177,0.0000,53,12
p11,0.695317,0.486722,0.0000,158,5
p12,8.149363,5.704554,0.0000,39,12
p13,0.480875,0.336613,0.0000,22,1
p14,1.149015,0.804310,0.0000,5,3
p15,2.050064,1.435045,0.0000,40,4
c16,7.055176,4.938623,0.0000,121,15
c17,5.798794,4.059156,0.0000,79,15
c18,4.748948,3.324264,0.0000,148,15
c19,8.223772,5.756641,0.0000,147,19
c20,4.686010,3.280207,0.0000,132,14
c21,2.564872,1.795410,0.0000,148,9
c22,2.673112,1.871179,0.0000,78,10
c23,3.877674,2.714372,0.0000,225,16
c24,1.405928,0.984150,0.0000,153,10
c25,3.354530,2.348171,0.0000,66,8
c26,9.869893,6.908925,0.0000,82,16
c27,10.456492,7.319544,0.0000,126,27
c28,3.106605,2.174624,0.0000,56,9
c29,4.632615,3.242830,0.0000,191,20
c30,3.430732,2.401513,0.0000,55,10
c31,4.866459,3.406521,0.0000,97,11
w32,7.110235,4.977165,0.0000,97,14
w33,2.491826,1.744278,0.0000,76,6
w34,2.841107,1.988775,0.0000,78,8
w35,0.000000,0.000000,0.0000,3,0
w36,0.185145,0.129602,0.0000,26,2
w37,5.437448,3.806214,0.0000,85,13
w38,1.789947,1.252963,0.0000,185,7
w39,1.295779,0.907045,0.0000,135,9
w40,5.119355,3.583549,0.0000,195,16
w41,1.476322,1.033425,0.0000,44,6
w42,1.493301,1.045311,0.0000,35,7
w43,2.504772,1.753340,0.0000,10,6
w44,2.765901,1.936130,0.0000,129,14
w45,0.732383,0.512668,0.0000,21,4
w46,0.522952,0.366066,0.0000,130,2
w47,1.772080,1.240456,0.0000,47,9
w48,2.918386,2.042870,0.0000,355,15
w49,1.122257,0.785580,0.0000,61,5
t50,14.282368,10.197657,0.6667,97,21
t51,1.598699,1.219090,0.3333,188,6
t52,13.997417,9.798192,0.0000,176,35
t53,18.176770,12.873739,0.5000,465,36
t54,9.113576,6.379503,0.0000,234,25
t55,19.444268,13.610987,0.0000,285,27
