time,total_forwards,experienced_forwards,fraction_experienced
0,1,0,0.0000
60,1,0,0.0000
120,7,0,0.0000
180,29,0,0.0000
240,29,0,0.0000
300,27,0,0.0000
360,31,0,0.0000
420,63,0,0.0000
480,76,9,0.1184
540,77,0,0.0000
600,138,0,0.0000
660,83,16,0.1928
720,118,7,0.0593
780,27,0,0.0000
840,111,20,0.1802
900,68,19,0.2794
960,49,15,0.3061
1020,51,39,0.7647
1080,24,9,0.3750
1140,122,32,0.2623
1200,105,36,0.3429
1260,30,14,0.4667
1320,115,89,0.7739
1380,102,98,0.9608
1440,158,132,0.8354
1500,179,136,0.7598
1560,26,26,1.0000
1620,49,48,0.9796
1680,61,45,0.7377
1740,98,78,0.7959
1800,153,142,0.9281
1860,100,86,0.8600
1920,85,85,1.0000
1980,105,105,1.0000
2040,35,16,0.4571
2100,159,159,1.0000
2160,60,53,0.8833
2220,65,58,0.8923
2280,130,130,1.0000
2340,57,50,0.8772
2400,104,103,0.9904
2460,203,190,0.9360
2520,198,184,0.9293
2580,129,125,0.9690
2640,60,51,0.8500
2700,130,130,1.0000
2760,277,271,0.9783
2820,178,178,1.0000
2880,37,37,1.0000
2940,39,39,1.0000
3000,201,201,1.0000
3060,75,75,1.0000
3120,227,215,0.9471
3180,161,161,1.0000
3240,50,50,1.0000
3300,85,85,1.0000
3360,94,94,1.0000
3420,112,111,0.9911
3480,144,144,1.0000
3540,122,122,1.0000
