time,total_forwards,experienced_forwards,fraction_experienced
0,6,0,0.0000
60,22,0,0.0000
120,59,0,0.0000
180,121,0,0.0000
240,191,0,0.0000
300,205,0,0.0000
360,336,6,0.0179
420,315,12,0.0381
480,252,24,0.0952
540,290,49,0.1690
600,349,68,0.1948
660,514,93,0.1809
720,433,135,0.3118
780,476,273,0.5735
840,528,255,0.4830
900,561,251,0.4474
960,568,304,0.5352
1020,686,323,0.4708
1080,507,341,0.6726
1140,516,255,0.4942
1200,582,377,0.6478
1260,641,531,0.8284
1320,476,345,0.7248
1380,535,471,0.8804
1440,480,401,0.8354
1500,342,274,0.8012
1560,518,338,0.6525
1620,680,656,0.9647
1680,495,425,0.8586
1740,376,321,0.8537
1800,344,329,0.9564
1860,742,717,0.9663
1920,345,334,0.9681
1980,408,384,0.9412
2040,834,827,0.9916
2100,756,752,0.9947
2160,292,292,1.0000
2220,768,765,0.9961
2280,277,275,0.9928
2340,430,430,1.0000
2400,541,449,0.8299
2460,661,648,0.9803
2520,564,535,0.9486
2580,488,472,0.9672
2640,563,559,0.9929
2700,567,566,0.9982
2760,704,688,0.9773
2820,1110,1107,0.9973
2880,676,636,0.9408
2940,670,669,0.9985
3000,803,803,1.0000
3060,676,671,0.9926
3120,642,642,1.0000
3180,508,508,1.0000
3240,239,235,0.9833
3300,1057,1035,0.9792
3360,745,722,0.9691
3420,744,731,0.9825
3480,1140,1140,1.0000
3540,875,875,1.0000
