time,total_forwards,experienced_forwards,fraction_experienced
0,2,0,0.0000
60,24,0,0.0000
120,34,0,0.0000
180,55,0,0.0000
240,133,0,0.0000
300,164,0,0.0000
360,234,0,0.0000
420,167,42,0.2515
480,267,46,0.1723
540,349,70,0.2006
600,440,56,0.1273
660,383,81,0.2115
720,354,98,0.2768
780,586,104,0.1775
840,458,256,0.5590
900,543,335,0.6169
960,303,205,0.6766
1020,530,303,0.5717
1080,559,344,0.6154
1140,682,534,0.7830
1200,393,305,0.7761
1260,466,270,0.5794
1320,461,444,0.9631
1380,532,479,0.9004
1440,411,260,0.6326
1500,334,258,0.7725
1560,390,329,0.8436
1620,378,318,0.8413
1680,491,471,0.9593
1740,360,305,0.8472
1800,328,324,0.9878
1860,729,680,0.9328
1920,478,407,0.8515
1980,523,437,0.8356
2040,546,398,0.7289
2100,555,503,0.9063
2160,563,549,0.9751
2220,448,435,0.9710
2280,379,346,0.9129
2340,263,236,0.8973
2400,429,405,0.9441
2460,434,397,0.9147
2520,390,373,0.9564
2580,319,314,0.9843
2640,348,348,1.0000
2700,391,387,0.9898
2760,614,606,0.9870
2820,668,667,0.9985
2880,408,399,0.9779
2940,290,290,1.0000
3000,211,211,1.0000
3060,430,430,1.0000
3120,324,324,1.0000
3180,457,457,1.0000
3240,869,869,1.0000
3300,633,633,1.0000
3360,380,380,1.0000
3420,444,444,1.0000
3480,506,506,1.0000
3540,587,587,1.0000
