time,gini
0,0.000000
60,0.000000
120,0.993590
180,0.993590
240,0.980034
300,0.980034
360,0.950245
420,0.903102
480,0.861087
540,0.835243
600,0.813367
660,0.776643
720,0.735407
780,0.734603
840,0.705862
900,0.705139
960,0.669072
1020,0.650781
1080,0.643907
1140,0.632839
1200,0.625453
1260,0.614953
1320,0.607395
1380,0.601301
1440,0.601112
1500,0.609319
1560,0.605451
1620,0.596877
1680,0.590171
1740,0.592561
1800,0.590449
1860,0.588696
1920,0.582657
1980,0.581299
2040,0.575445
2100,0.573424
2160,0.567590
2220,0.568022
2280,0.569277
2340,0.570124
2400,0.571296
2460,0.571467
2520,0.571566
2580,0.570088
2640,0.566216
2700,0.565264
2760,0.565068
2820,0.560356
2880,0.561958
2940,0.558862
3000,0.560523
3060,0.559148
3120,0.557572
3180,0.554817
3240,0.552162
3300,0.554295
3360,0.550177
3420,0.547481
3480,0.545353
3540,0.540882
