time,total_forwards,experienced_forwards,fraction_experienced
0,6,0,0.0000
60,23,0,0.0000
120,55,0,0.0000
180,64,0,0.0000
240,86,12,0.1395
300,121,9,0.0744
360,235,7,0.0298
420,305,76,0.2492
480,232,103,0.4440
540,220,83,0.3773
600,288,89,0.3090
660,453,134,0.2958
720,324,139,0.4290
780,347,253,0.7291
840,269,197,0.7323
900,356,329,0.9242
960,359,359,1.0000
1020,297,278,0.9360
1080,285,273,0.9579
1140,322,322,1.0000
1200,497,497,1.0000
1260,245,245,1.0000
1320,606,606,1.0000
1380,466,466,1.0000
1440,429,429,1.0000
1500,582,582,1.0000
1560,561,561,1.0000
1620,487,487,1.0000
1680,475,475,1.0000
1740,650,650,1.0000
1800,421,421,1.0000
1860,388,388,1.0000
1920,508,508,1.0000
1980,555,555,1.0000
2040,516,516,1.0000
2100,456,456,1.0000
2160,375,375,1.0000
2220,344,344,1.0000
2280,778,778,1.0000
2340,350,350,1.0000
2400,554,554,1.0000
2460,492,492,1.0000
2520,658,658,1.0000
2580,531,531,1.0000
2640,319,319,1.0000
2700,222,222,1.0000
2760,383,383,1.0000
2820,627,627,1.0000
2880,763,763,1.0000
2940,608,608,1.0000
3000,679,679,1.0000
3060,721,721,1.0000
3120,682,682,1.0000
3180,477,477,1.0000
3240,306,306,1.0000
3300,561,561,1.0000
3360,265,265,1.0000
3420,300,300,1.0000
3480,351,351,1.0000
3540,543,543,1.0000
