latency,hops,proof_bytes
143.40,3,384
247.90,1,128
175.50,3,384
64.70,1,128
242.00,4,512
201.50,1,128
382.30,3,384
492.00,3,384
266.20,2,256
560.70,2,256
554.00,3,384
99.10,1,128
434.60,3,384
635.90,3,384
468.40,5,640
212.30,2,256
447.50,5,640
638.10,4,512
756.90,7,896
652.60,5,640
532.70,6,768
492.60,5,640
240.30,2,256
483.80,3,384
362.90,3,384
669.30,3,384
777.20,4,512
640.70,6,768
889.60,4,512
39.10,1,128
444.00,3,384
360.90,3,384
770.50,2,256
88.40,1,128
529.20,3,384
762.00,4,512
508.20,4,512
921.00,6,768
748.70,3,384
947.60,5,640
283.80,2,256
767.50,7,896
878.60,3,384
1111.90,2,256
1126.90,7,896
657.60,2,256
751.70,4,512
361.00,7,896
595.00,5,640
858.80,5,640
1054.90,3,384
795.10,5,640
808.20,6,768
520.50,4,512
1030.30,4,512
1017.20,7,896
1163.30,8,1024
885.30,4,512
1201.50,2,256
1110.60,3,384
771.70,5,640
734.80,3,384
1235.40,5,640
329.80,2,256
1345.10,4,512
801.70,3,384
291.90,3,384
951.70,5,640
1170.80,5,640
216.40,3,384
400.70,2,256
0.70,1,128
617.10,6,768
220.20,2,256
1033.60,4,512
1130.40,5,640
951.70,2,256
591.10,4,512
634.20,1,128
916.80,3,384
1070.30,3,384
1531.70,4,512
1239.10,3,384
353.20,2,256
944.30,3,384
836.40,5,640
1270.30,5,640
1607.40,5,640
754.50,3,384
983.40,8,1024
851.40,5,640
1281.70,3,384
367.10,1,128
1461.20,4,512
1262.30,3,384
1426.90,4,512
1035.00,2,256
1007.10,3,384
1268.00,3,384
300.50,4,512
592.60,3,384
295.70,1,128
696.60,3,384
624.30,1,128
1421.60,4,512
792.30,2,256
1384.70,5,640
1056.50,3,384
605.40,3,384
1455.50,5,640
1157.70,2,256
452.60,1,128
1022.00,1,128
983.20,4,512
1088.40,4,512
859.30,2,256
1247.20,4,512
918.60,4,512
947.00,2,256
209.50,3,384
1459.30,4,512
1708.40,2,256
936.90,4,512
1897.70,3,384
646.00,3,384
916.90,3,384
1010.00,4,512
339.60,1,128
1289.90,3,384
1934.10,4,512
1651.30,5,640
545.90,2,256
373.60,2,256
1808.80,4,512
519.00,3,384
509.30,2,256
1386.80,6,768
108.80,1,128
1054.40,3,384
1165.10,4,512
974.30,2,256
1001.40,2,256
1175.60,4,512
2005.60,2,256
388.20,2,256
760.00,6,768
625.00,2,256
1355.10,4,512
896.70,4,512
904.80,2,256
1460.40,1,128
1035.00,2,256
1507.10,4,512
1131.70,3,384
885.60,6,768
1367.30,6,768
824.40,3,384
697.10,3,384
1034.40,4,512
1940.60,3,384
1419.70,5,640
472.30,3,384
257.10,2,256
1502.00,2,256
1255.30,3,384
473.20,2,256
1860.00,1,128
2013.40,4,512
2270.30,3,384
2105.40,5,640
1320.00,4,512
1384.50,5,640
1758.40,3,384
1575.50,5,640
1726.90,3,384
1390.60,3,384
1643.50,2,256
703.20,3,384
1175.40,1,128
280.50,2,256
320.10,1,128
1947.00,4,512
1540.10,2,256
1224.20,3,384
204.90,3,384
985.80,3,384
1105.90,3,384
1710.80,6,768
645.00,6,768
2044.50,4,512
1238.20,3,384
917.00,3,384
142.60,1,128
1721.00,6,768
1446.20,6,768
2185.00,3,384
748.50,5,640
1064.60,3,384
1574.50,4,512
471.30,2,256
2093.10,5,640
302.70,3,384
217.40,1,128
2203.70,2,256
990.90,3,384
1373.00,6,768
1917.00,5,640
1275.30,2,256
1683.60,3,384
955.80,4,512
1042.20,6,768
258.30,2,256
1068.50,4,512
1926.20,4,512
118.30,1,128
2107.50,7,896
1874.70,3,384
1920.80,5,640
1882.50,6,768
1785.60,3,384
748.60,3,384
496.70,3,384
1038.30,5,640
1263.30,3,384
1499.70,2,256
1329.40,3,384
2248.30,2,256
1396.50,3,384
626.80,2,256
1553.50,2,256
1503.30,3,384
1736.10,5,640
748.40,3,384
2458.50,4,512
995.60,2,256
742.90,4,512
2789.80,2,256
1545.30,2,256
818.40,2,256
1981.50,6,768
672.20,1,128
1435.40,4,512
1245.90,2,256
1814.00,4,512
1047.10,3,384
1664.20,1,128
1081.30,1,128
1609.40,3,384
1595.50,4,512
1575.80,2,256
3011.60,5,640
2525.70,5,640
1610.90,3,384
2083.20,3,384
1137.30,4,512
1684.00,2,256
2423.10,4,512
3134.20,2,256
659.00,3,384
4.00,1,128
413.60,2,256
960.50,3,384
1039.90,4,512
2342.00,6,768
935.10,4,512
1761.10,1,128
1159.40,1,128
802.50,1,128
2114.70,5,640
1913.70,2,256
1258.80,4,512
1836.90,7,896
3236.00,6,768
2144.10,6,768
1649.20,4,512
1115.30,5,640
216.30,1,128
1824.40,1,128
1594.60,2,256
1611.80,4,512
1194.90,4,512
419.90,1,128
2712.60,5,640
3013.40,5,640
900.30,5,640
844.00,2,256
1452.40,8,1024
2151.20,4,512
2032.10,2,256
2686.90,3,384
539.90,1,128
860.00,5,640
2327.30,7,896
879.00,2,256
449.40,1,128
2254.80,3,384
1010.40,3,384
1649.00,2,256
608.70,3,384
1296.60,2,256
1492.10,2,256
2723.20,2,256
2783.70,3,384
970.60,3,384
1515.80,4,512
1103.30,4,512
1539.90,5,640
1720.10,4,512
497.70,3,384
281.80,3,384
877.20,2,256
951.20,4,512
758.80,3,384
1512.90,4,512
977.80,2,256
595.90,1,128
